review_index,candidate_group_id,evidence_class,name_standardization_basis,development_state,state_id,primary_site_key,n_current_developments,n_hud_ids,project_names,hud_ids,allocation_pis_years,episode_unit_totals,pass1_decision,pass1_reason_code,pass1_notes,pass1_reviewed_on,pass2_decision,pass2_reason_code,pass2_search_engine,pass2_search_url,pass2_source_1_title,pass2_source_1_type,pass2_source_1_url,pass2_notes,pass2_reviewed_on,final_decision,final_reason_code,final_notes,final_reviewed_on
1,NVAR_0004,exact_timing_units,abbreviation_punctuation_or_typo,CA,CA-11-121,CA|10050 JUNIPER AVE|FONTANA,2,2,PASEO VERDE FAMILY APTS III || PASEO VERDE III FAMILY APTS,CAA20130072 || CAA20138489,2011/2013 || 2011/2013,46/46 || 46/46,merge,same_state_id_address_timing_units_name_variant,HUD-only read: 2 current developments (CAA20130072 || CAA20138489) share state ID CA-11-121 and standardized primary address CA|10050 JUNIPER AVE|FONTANA. Evidence class: exact_timing_units. Names: PASEO VERDE FAMILY APTS III || PASEO VERDE III FAMILY APTS. Allocation/PIS pairs: 2011/2013 || 2011/2013. Reconciled total/low-income units: 46/46 || 46/46.,2026-08-10,merge,duplicate_reporting_name_variant,Google,https://www.google.com/search?q=%22PASEO%20VERDE%20FAMILY%20APTS%20III%22%20%2210050%20JUNIPER%20AVE%22%20%22FONTANA%22%20affordable%20housing,"Paseo Verde Family Apts Iii | Affordable Housing in Fontana, CA",property_directory,https://affordablehousinghub.org/housing/california/san-bernardino-county/fontana/paseo-verde-family-apts-iii-27786-lihtc,"Outside read: the retained source identifies the named property at the reviewed location. Combined with the same state ID and standardized address, the name difference is treated as reporting variation rather than a distinct physical development. Unit aggregation remains separate.",2026-08-10,merge,duplicate_reporting_name_variant,Merge the current development IDs into one physical development and retain every HUD row as a project episode. Do not resolve development unit totals in this identity step.,2026-08-10
2,NVAR_0005,exact_timing_units,site_or_location_suffix,CA,CA-12-086,CA|1515 N SAN FERNANDO RD|LOS ANGELES,2,2,RIO VISTA APARTMENTS || RIO VISTA APTS (LOS ANGELES),CAA20141069 || CAA20147500,2012/2014 || 2012/2014,87/86 || 87/86,merge,same_state_id_address_timing_units_name_variant,HUD-only read: 2 current developments (CAA20141069 || CAA20147500) share state ID CA-12-086 and standardized primary address CA|1515 N SAN FERNANDO RD|LOS ANGELES. Evidence class: exact_timing_units. Names: RIO VISTA APARTMENTS || RIO VISTA APTS (LOS ANGELES). Allocation/PIS pairs: 2012/2014 || 2012/2014. Reconciled total/low-income units: 87/86 || 87/86.,2026-08-10,merge,duplicate_reporting_name_variant,Google,https://www.google.com/search?q=%22RIO%20VISTA%20APARTMENTS%22%20%221515%20N.%20SAN%20FERNANDO%20ROAD%22%20%22LOS%20ANGELES%22%20affordable%20housing,Property Detail - Affordable and Accessible Housing Registry - City of Los Angeles,public_agency_record,https://lahousing.lacity.org/AAHR/ComCon/Tab/RenderTab?Id=486&IsSearchFilterApplied=true&tabname=Property+Detail,"Outside read: the retained source identifies the named property at the reviewed location. Combined with the same state ID and standardized address, the name difference is treated as reporting variation rather than a distinct physical development. Unit aggregation remains separate.",2026-08-10,merge,duplicate_reporting_name_variant,Merge the current development IDs into one physical development and retain every HUD row as a project episode. Do not resolve development unit totals in this identity step.,2026-08-10
3,NVAR_0006,exact_timing_units,site_or_location_suffix,CA,CA-12-128,CA|13218 AVALON BLVD|LOS ANGELES,2,2,AVALON APARTMENTS || AVALON APTS (LOS ANGELES),CAA20141005 || CAA20147467,2012/2014 || 2012/2014,55/54 || 55/54,merge,same_state_id_address_timing_units_name_variant,HUD-only read: 2 current developments (CAA20141005 || CAA20147467) share state ID CA-12-128 and standardized primary address CA|13218 AVALON BLVD|LOS ANGELES. Evidence class: exact_timing_units. Names: AVALON APARTMENTS || AVALON APTS (LOS ANGELES). Allocation/PIS pairs: 2012/2014 || 2012/2014. Reconciled total/low-income units: 55/54 || 55/54.,2026-08-10,merge,duplicate_reporting_name_variant,Google,https://www.google.com/search?q=%22AVALON%20APARTMENTS%22%20%2213218%20AVALON%20BLVD.%22%20%22LOS%20ANGELES%22%20affordable%20housing,"Avalon Apartments | Affordable Housing in Los Angeles, CA",property_directory,https://affordablehousinghub.org/housing/california/los-angeles-county/los-angeles/avalon-apartments-27941-lihtc,"Outside read: the retained source identifies the named property at the reviewed location. Combined with the same state ID and standardized address, the name difference is treated as reporting variation rather than a distinct physical development. Unit aggregation remains separate.",2026-08-10,merge,duplicate_reporting_name_variant,Merge the current development IDs into one physical development and retain every HUD row as a project episode. Do not resolve development unit totals in this identity step.,2026-08-10
4,NVAR_0007,exact_timing_units,abbreviation_punctuation_or_typo,CA,CA-12-197,CA|6470 EL CAJON BLVD|SAN DIEGO,2,2,MESA COMMONS APARTMENTS || MESA COMMONS APTS,CAA20141050 || CAA20147492,2012/2014 || 2012/2014,78/77 || 78/77,merge,same_state_id_address_timing_units_name_variant,HUD-only read: 2 current developments (CAA20141050 || CAA20147492) share state ID CA-12-197 and standardized primary address CA|6470 EL CAJON BLVD|SAN DIEGO. Evidence class: exact_timing_units. Names: MESA COMMONS APARTMENTS || MESA COMMONS APTS. Allocation/PIS pairs: 2012/2014 || 2012/2014. Reconciled total/low-income units: 78/77 || 78/77.,2026-08-10,merge,duplicate_reporting_name_variant,Google,https://www.google.com/search?q=%22MESA%20COMMONS%20APARTMENTS%22%20%226470%20EL%20CAJON%20BLVD.%22%20%22SAN%20DIEGO%22%20affordable%20housing,"Mesa Commons Apartments | Affordable Housing in San Diego, CA",property_directory,https://affordablehousinghub.org/housing/california/san-diego-county/san-diego/mesa-commons-apartments-1021-lihtc,"Outside read: the retained source identifies the named property at the reviewed location. Combined with the same state ID and standardized address, the name difference is treated as reporting variation rather than a distinct physical development. Unit aggregation remains separate.",2026-08-10,merge,duplicate_reporting_name_variant,Merge the current development IDs into one physical development and retain every HUD row as a project episode. Do not resolve development unit totals in this identity step.,2026-08-10
5,NVAR_0008,exact_timing_units,abbreviation_punctuation_or_typo,CA,CA-12-208,CA|3553 BESWICK ST|LOS ANGELES,2,2,BESWICK SENIOR APARTMENTS || BESWICK SENIOR APTS,CAA20141008 || CAA20147470,2012/2014 || 2012/2014,33/32 || 33/32,merge,same_state_id_address_timing_units_name_variant,HUD-only read: 2 current developments (CAA20141008 || CAA20147470) share state ID CA-12-208 and standardized primary address CA|3553 BESWICK ST|LOS ANGELES. Evidence class: exact_timing_units. Names: BESWICK SENIOR APARTMENTS || BESWICK SENIOR APTS. Allocation/PIS pairs: 2012/2014 || 2012/2014. Reconciled total/low-income units: 33/32 || 33/32.,2026-08-10,merge,duplicate_reporting_name_variant,Google,https://www.google.com/search?q=%22BESWICK%20SENIOR%20APARTMENTS%22%20%223553%20BESWICK%20STREET%22%20%22LOS%20ANGELES%22%20affordable%20housing,"Beswick Senior Apartments | Affordable Housing in Los Angeles, CA",property_directory,https://affordablehousinghub.org/housing/california/los-angeles-county/los-angeles/beswick-senior-apartments-30174-lihtc,"Outside read: the retained source identifies the named property at the reviewed location. Combined with the same state ID and standardized address, the name difference is treated as reporting variation rather than a distinct physical development. Unit aggregation remains separate.",2026-08-10,merge,duplicate_reporting_name_variant,Merge the current development IDs into one physical development and retain every HUD row as a project episode. Do not resolve development unit totals in this identity step.,2026-08-10
6,NVAR_0009,exact_timing_units,abbreviation_punctuation_or_typo,CA,CA-12-867,CA|40789 FREMONT BLVD|FREMONT,2,2,SEQUOIA MANOR || SEQUIOA MANNER,CAA20141074 || CAA20147503,2012/2014 || 2012/2014,81/80 || 81/80,merge,same_state_id_address_timing_units_name_variant,HUD-only read: 2 current developments (CAA20141074 || CAA20147503) share state ID CA-12-867 and standardized primary address CA|40789 FREMONT BLVD|FREMONT. Evidence class: exact_timing_units. Names: SEQUOIA MANOR || SEQUIOA MANNER. Allocation/PIS pairs: 2012/2014 || 2012/2014. Reconciled total/low-income units: 81/80 || 81/80.,2026-08-10,merge,duplicate_reporting_name_variant,Google,https://www.google.com/search?q=%22SEQUOIA%20MANOR%22%20%2240789%20FREMONT%20BLVD.%22%20%22FREMONT%22%20affordable%20housing,"Sequoia Manor | Affordable Housing in Fremont, CA",property_directory,https://affordablehousinghub.org/housing/california/alameda-county/fremont/sequoia-manor-1119-lihtc,"Outside read: the retained source identifies the named property at the reviewed location. Combined with the same state ID and standardized address, the name difference is treated as reporting variation rather than a distinct physical development. Unit aggregation remains separate.",2026-08-10,merge,duplicate_reporting_name_variant,Merge the current development IDs into one physical development and retain every HUD row as a project episode. Do not resolve development unit totals in this identity step.,2026-08-10
7,NVAR_0010,exact_timing_units,abbreviation_punctuation_or_typo,CA,CA-12-869,CA|510 WINCHESTER DR|OXNARD,2,2,WAGON WHEEL FAMILY APARTMENTS || WAGON WHEEL FAMILY APTS,CAA20141097 || CAA20147514,2012/2014 || 2012/2014,120/119 || 120/119,merge,same_state_id_address_timing_units_name_variant,HUD-only read: 2 current developments (CAA20141097 || CAA20147514) share state ID CA-12-869 and standardized primary address CA|510 WINCHESTER DR|OXNARD. Evidence class: exact_timing_units. Names: WAGON WHEEL FAMILY APARTMENTS || WAGON WHEEL FAMILY APTS. Allocation/PIS pairs: 2012/2014 || 2012/2014. Reconciled total/low-income units: 120/119 || 120/119.,2026-08-10,merge,duplicate_reporting_name_variant,Google,https://www.google.com/search?q=%22WAGON%20WHEEL%20FAMILY%20APARTMENTS%22%20%22510%20WINCHESTER%20DRIVE%22%20%22OXNARD%22%20affordable%20housing,"WAGON WHEEL FAMILY APARTMENTS - OXNARD, CA | LIHTC Affordable Housing | Affordable Housing Search",property_directory,https://affordablehousingnearme.net/property/CAA20141097-wagon-wheel-family-apartments-510-winchester-drive-oxnard-ca,"Outside read: the retained source identifies the named property at the reviewed location. Combined with the same state ID and standardized address, the name difference is treated as reporting variation rather than a distinct physical development. Unit aggregation remains separate.",2026-08-10,merge,duplicate_reporting_name_variant,Merge the current development IDs into one physical development and retain every HUD row as a project episode. Do not resolve development unit totals in this identity step.,2026-08-10
8,NVAR_0011,exact_timing_units,abbreviation_punctuation_or_typo,CA,CA-13-033,CA|2701 TOPEKA ST|RIVERBANK,2,2,RIVERVIEW GARDEN APARTMENTS || RIVERVIEW GARDEN,CAA20141070 || CAA20147501,2013/2014 || 2013/2014,42/41 || 42/41,merge,same_state_id_address_timing_units_name_variant,HUD-only read: 2 current developments (CAA20141070 || CAA20147501) share state ID CA-13-033 and standardized primary address CA|2701 TOPEKA ST|RIVERBANK. Evidence class: exact_timing_units. Names: RIVERVIEW GARDEN APARTMENTS || RIVERVIEW GARDEN. Allocation/PIS pairs: 2013/2014 || 2013/2014. Reconciled total/low-income units: 42/41 || 42/41.,2026-08-10,merge,duplicate_reporting_name_variant,Google,https://www.google.com/search?q=%22RIVERVIEW%20GARDEN%20APARTMENTS%22%20%222701%20TOPEKA%20STREET%22%20%22RIVERBANK%22%20affordable%20housing,"Riverview Garden Apartments in Riverbank, California",property_directory,https://affordablehousingonline.com/housing-search/California/Riverbank/Riverview-Garden-Apartments/3865,"Outside read: the retained source identifies the named property at the reviewed location. Combined with the same state ID and standardized address, the name difference is treated as reporting variation rather than a distinct physical development. Unit aggregation remains separate.",2026-08-10,merge,duplicate_reporting_name_variant,Merge the current development IDs into one physical development and retain every HUD row as a project episode. Do not resolve development unit totals in this identity step.,2026-08-10
9,NVAR_0012,exact_timing_units,site_or_location_suffix,CA,CA-13-048,CA|1471 ADDISON ST|BERKELEY,2,2,UNIVERSITY AVENUE COOPERATIVE HOUSING || UNIVERSITY AVENUE COOPERATIVE HOUSING (SITE A),CAA20141091 || CAA20147508,2013/2014 || 2013/2014,47/46 || 47/46,merge,same_state_id_address_timing_units_name_variant,HUD-only read: 2 current developments (CAA20141091 || CAA20147508) share state ID CA-13-048 and standardized primary address CA|1471 ADDISON ST|BERKELEY. Evidence class: exact_timing_units. Names: UNIVERSITY AVENUE COOPERATIVE HOUSING || UNIVERSITY AVENUE COOPERATIVE HOUSING (SITE A). Allocation/PIS pairs: 2013/2014 || 2013/2014. Reconciled total/low-income units: 47/46 || 47/46.,2026-08-10,merge,duplicate_reporting_name_variant,Google,https://www.google.com/search?q=%22UNIVERSITY%20AVENUE%20COOPERATIVE%20HOUSING%22%20%221471%20ADDISON%20STREET%22%20%22BERKELEY%22%20affordable%20housing,"University Avenue Co in Berkeley, California",property_directory,https://affordablehousingonline.com/housing-search/California/Berkeley/University-Avenue-Co/10080148,"Outside read: the retained source identifies the named property at the reviewed location. Combined with the same state ID and standardized address, the name difference is treated as reporting variation rather than a distinct physical development. Unit aggregation remains separate.",2026-08-10,merge,duplicate_reporting_name_variant,Merge the current development IDs into one physical development and retain every HUD row as a project episode. Do not resolve development unit totals in this identity step.,2026-08-10
10,NVAR_0013,exact_timing_units,site_or_location_suffix,CA,CA-13-088,CA|111 STRAW ST|MENDOTA,2,2,MENDOTA RENTAL ASSISTANCE DEMONSTRATION (RAD) || MENDOTA RENTAL ASSISTANCE DEMONSTRATION (RAD) (SITE A),CAA20150047 || CAA20156278,2013/2015 || 2013/2015,124/123 || 124/123,merge,same_state_id_address_timing_units_name_variant,HUD-only read: 2 current developments (CAA20150047 || CAA20156278) share state ID CA-13-088 and standardized primary address CA|111 STRAW ST|MENDOTA. Evidence class: exact_timing_units. Names: MENDOTA RENTAL ASSISTANCE DEMONSTRATION (RAD) || MENDOTA RENTAL ASSISTANCE DEMONSTRATION (RAD) (SITE A). Allocation/PIS pairs: 2013/2015 || 2013/2015. Reconciled total/low-income units: 124/123 || 124/123.,2026-08-10,merge,duplicate_reporting_name_variant,Google,https://www.google.com/search?q=%22MENDOTA%20RENTAL%20ASSISTANCE%20DEMONSTRATION%20(RAD)%22%20%22111%20STRAW%20STREET%22%20%22MENDOTA%22%20affordable%20housing,California Tax Credit Allocation Committee staff report,public_agency_record,https://www.treasurer.ca.gov/ctcac/meeting/staff/2013/20130612/088.pdf,"Outside read: the retained source identifies the named property at the reviewed location. Combined with the same state ID and standardized address, the name difference is treated as reporting variation rather than a distinct physical development. Unit aggregation remains separate.",2026-08-10,merge,duplicate_reporting_name_variant,Merge the current development IDs into one physical development and retain every HUD row as a project episode. Do not resolve development unit totals in this identity step.,2026-08-10
