place_geoid,route_id,route_name,trigger,local_subjective_review,subjective_denial_code,binding_land_use_actor,binding_board_approval,elected_approval,advisory_or_comment_role,appeal_or_request,state_limit,affordable_exception,evidence_ids,scope_limit,board_conditions_binding
1304000,atl_rg,Ordinary RG multifamily,Permitted apartment use; all objective requirements met,0,0,Bureau of Buildings,0,0,Permit notice does not establish a neighborhood veto,Administrative appeals are a separate route,No override needed for selected compliance route,Not separately established,atl_use;atl_permit,Inference from permitted use and conformity certification; overlays excluded.,
4835000,hou_plat,Complying development plat,Chapter 42 development plat; no variance or special exception,0,0,Director; Planning Commission if referred,conditional,0,Public process does not change mandatory compliance standard,Variance and special-exception requests are separate,No override needed for selected compliance route,Not separately established,hou_authority;hou_approval,Commission appearance is not itself a discretionary veto.,
3651000,nyc_asofright,As-of-right apartment,Existing zoning permits proposal; no special permission,0,0,Department of Buildings,0,0,No planning public-review process for this route,Special permit and zoning amendment are separate routes,No override needed for selected compliance route,Public land or requested zoning changes can add approvals,nyc_asofright,Not a measure of the availability of appropriately zoned land.,
1714000,chi_small,Ordinary zoning certification,Below all mandatory-PD triggers; no special use,0,0,Office of Zoning Administrator,0,0,No additional binding approval identified in selected route,Administrative appeal is separate,Not separately established,Government assistance raises residential PD unit thresholds by 20%,chi_certification;chi_threshold;chi_affordable,Additional overlays and other PD triggers excluded.,
1714000,chi_pd,Mandatory planned development,Residential project meets district-specific mandatory-PD threshold,1,1,City Council,1,1,Plan Commission recommendation; Council committee public hearing,Ordinary Council inaction can count as denial; inclusionary applications have separate procedure,Not separately established,Government assistance raises threshold; does not exempt all projects,chi_threshold;chi_affordable;chi_recommend;chi_council;chi_findings,Compatibility finding permits judgment beyond numerical compliance; Council committee is not counted as another government.,
0644000,la_small,Below site-plan threshold,Fewer than 50 dwellings; no other discretionary trigger,0,0,Building-permit authority,0,0,No site-plan approval required by selected threshold,Other legally triggered approvals excluded,HAA protects qualifying objectively compliant housing,Qualified supportive housing exemption also exists,la_siteplan;ca_haa,Section 16.05 D.1 contains an explicit other-law exception.,
0644000,la_siteplan,Site-plan approval,50 or more dwellings; no enumerated exemption,1,0,Planning Director or designee,0,0,A hearing is not an extra binding body,Area Planning Commission acts on appeal,HAA limits denial or reduced density despite subjective local findings,Qualified supportive housing exemption; other statutory streamlining routes require eligibility,la_siteplan;ca_haa,Zero denial code means no denial solely for subjective incompatibility under HAA assumptions; CEQA and specific health/safety exceptions remain.,
0667000,sf_dr,Local discretionary review,Ordinary code-compliant housing outside a ministerial exemption,1,0,Planning staff / Planning Commission according to route,conditional,0,Public objection may trigger Commission review,Discretionary-review request can change who reviews the project,HAA limits subjective denial; HCD found conflicting local practices,SB 35 qualifying affordable housing has a ministerial route,sf_hcd;ca_haa,A lawful-denial limit is not proof of prompt approval or faithful implementation; no universal count of binding bodies assigned.,
5363000,sea_full,Full design review,Project exceeds applicable full-review threshold; no exemption,1,,SDCI Director,conditional,0,Four-member Board recommendation binds design conditions if Director approves unless a specified inconsistency or legal conflict justifies departure; Board is not a separate final permit authority.,Appeal is separate from the ordinary decision,Later HB1293 reform requires separate dating,2022 qualifying affordable applicants could elect exemption,sea_full;sea_affordable;sea_board_conditions,Source establishes power to impose design conditions; denial power is not separately established in this pilot.,conditional
5363000,sea_admin,Administrative design review,Administrative-review trigger or elected route; no exemption,1,,SDCI Director,0,0,Community outreach and written comments; Director considers design priorities,Appeal is separate from the ordinary decision,Later HB1293 reform requires separate dating,2022 qualifying affordable applicants could elect exemption,sea_admin;sea_affordable,Do not infer an independent neighborhood veto from consideration of comments.,
5363000,sea_affordable,Qualifying affordable exemption,At least 40% of units at <=60% AMI; rent restrictions and agreement; timely complete application,0,,No design-review decision required,0,0,Exemption concerns design review,Applicant may elect review; other permits remain,Local exemption documented in 2020/2022 ordinances,This is the affordable branch itself,sea_affordable,Not all LIHTC projects automatically qualify; this does not establish absence of SEPA or other powers.,
2507000,bos_article80,Article 80 review,Small/large project triggers; exact operative 2022 terms not yet verified,,,2022 allocation of authority unresolved,,,2022 board agenda shows Article 80 applications,Historical procedure not fully verified,Not separately established,Historical exemptions not verified,bos_board;bos_proposal,2025 proposed text is not coded as operative 2022 law; legal variables remain missing.,
