singleton_identity_scope_review_id,current_development_id,current_development_site_id,site_key,site_street,site_city,site_state,site_zip,site_action,adjudicated_development_id,site_decision_reason,site_source_title,site_source_type,site_source_url,site_source_statement,geocoding_query_approval,reviewed_on
SISR_CT_BROOK_HILL_I,DEV_CTA0000X007,DEV_CTA0000X007_SITE_0001,CT|2 EMILY WAY|SUFFIELD,2 EMILY WAY,SUFFIELD,CT,06078,keep_verified_physical_site,DEV_CTA0000X007,public_source_supports_site_as_a_component_of_the_reviewed_physical_property,"Suffield Board of Assessment Appeals Minutes, March 26 2024",official_local_government,https://resources.finalsite.net/images/v1712151699/suffieldctgov/evonxh0dz8xwjhyqhyao/03-26-2024BoardofAssessmentAppealsMeetingMinutes.pdf,Local assessment records distinguish the Brook Hill properties at 1 and 2 Emily Way.,not_approved,2026-08-11
SISR_CT_BROOK_HILL_II,DEV_CTA0000X008,DEV_CTA0000X008_SITE_0001,CT|1 EMILY WAY|SUFFIELD,1 EMILY WAY,SUFFIELD,CT,06078,keep_verified_physical_site,DEV_CTA0000X008,public_source_supports_site_as_a_component_of_the_reviewed_physical_property,"Suffield Board of Assessment Appeals Minutes, March 26 2024",official_local_government,https://resources.finalsite.net/images/v1712151699/suffieldctgov/evonxh0dz8xwjhyqhyao/03-26-2024BoardofAssessmentAppealsMeetingMinutes.pdf,Local assessment records distinguish the Brook Hill properties at 1 and 2 Emily Way.,not_approved,2026-08-11
SISR_CT_CHERRY_STREET,DEV_CTA0000X013,DEV_CTA0000X013_SITE_0001,CT|1289 RAILROAD AVE|BRIDGEPORT,1289 RAILROAD AVE,BRIDGEPORT,CT,06605-2025,retain_unresolved_source_site_for_review,DEV_CTA0000X013,identity_decision_does_not_validate_this_source_site_for_geocoding,"CHFA CGS 8-37bb Report, October 2022-September 2023",official_state_housing_finance_agency,https://www.chfa.org/assets/1/6/C.G.S.8-37bb_-_October_1_2022-September_30_2023_Final_12-29_compressed.pdf,CHFA lists Cherry Street Lofts at 345 Cherry Street as a distinct Bridgeport development; it does not verify the inherited Railroad Avenue or Howard Avenue source sites.,not_approved,2026-08-11
SISR_CT_CHERRY_STREET,DEV_CTA0000X013,DEV_CTA0000X013_SITE_0002,CT|375 HOWARD AVE|BRIDGEPORT,375 HOWARD AVENUE,BRIDGEPORT,CT,6605,retain_unresolved_source_site_for_review,DEV_CTA0000X013,identity_decision_does_not_validate_this_source_site_for_geocoding,"CHFA CGS 8-37bb Report, October 2022-September 2023",official_state_housing_finance_agency,https://www.chfa.org/assets/1/6/C.G.S.8-37bb_-_October_1_2022-September_30_2023_Final_12-29_compressed.pdf,CHFA lists Cherry Street Lofts at 345 Cherry Street as a distinct Bridgeport development; it does not verify the inherited Railroad Avenue or Howard Avenue source sites.,not_approved,2026-08-11
SISR_CT_CLAY_ARSENAL,DEV_CTA0000X014,DEV_CTA0000X014_SITE_0001,CT|1545 MAIN ST AND 10 BELDEN|HARTFORD,1545 MAIN STREET AND 10 BELDEN,HARTFORD,CT,06120,keep_nonphysical_bridge_site,DEV_CTA0000X014,retain_source_site_only_as_an_episode_to_property_bridge_candidate,CHFA 2024 CGS 8-37bb Report,official_state_housing_finance_agency,https://www.chfa.org/assets/1/6/2024_8-37bb_Report_--_Compressed_File.pdf,CHFA reports Clay Arsenal as a 150-unit scattered-site property covering 25 sites; the current two rows are not a complete property inventory.,not_approved,2026-08-11
SISR_CT_CLAY_ARSENAL,DEV_CTA0000X014,DEV_CTA0000X014_SITE_0002,CT|62 ALBANY AVE|HARTFORD,62 ALBANY AVENUE,HARTFORD,CT,6120,keep_nonphysical_bridge_site,DEV_CTA0000X014,retain_source_site_only_as_an_episode_to_property_bridge_candidate,CHFA 2024 CGS 8-37bb Report,official_state_housing_finance_agency,https://www.chfa.org/assets/1/6/2024_8-37bb_Report_--_Compressed_File.pdf,CHFA reports Clay Arsenal as a 150-unit scattered-site property covering 25 sites; the current two rows are not a complete property inventory.,not_approved,2026-08-11
SISR_CT_CRESCENT_1B,DEV_CTA0000X017,DEV_CTA0000X017_SITE_0001,CT|16 CUTTER DR|BRIDGEPORT,16 CUTTER DRIVE,BRIDGEPORT,CT,06608,retain_unresolved_source_site_for_review,DEV_CTA0000X017,outside_source_confirms_development_or_phase_but_not_individual_site_address,CHFA 2015 Summary Report,official_state_housing_finance_agency,https://www.chfa.org/assets/1/6/2015_Summary_Report.pdf,"CHFA identifies phase 1B as a separate second replacement phase with four buildings, but this source does not verify the individual HUD address.",not_approved,2026-08-11
SISR_CT_CRESCENT_1B,DEV_CTA0000X017,DEV_CTA0000X017_SITE_0002,CT|581 WATERVIEW AVE|BRIDGEPORT,581 WATERVIEW AVENUE,BRIDGEPORT,CT,6608,retain_unresolved_source_site_for_review,DEV_CTA0000X017,outside_source_confirms_development_or_phase_but_not_individual_site_address,CHFA 2015 Summary Report,official_state_housing_finance_agency,https://www.chfa.org/assets/1/6/2015_Summary_Report.pdf,"CHFA identifies phase 1B as a separate second replacement phase with four buildings, but this source does not verify the individual HUD address.",not_approved,2026-08-11
SISR_CT_DAVIS_GARDENS,DEV_CTA0000X018,DEV_CTA0000X018_SITE_0001,CT|164 WARNER ST|WATERBURY,164 WARNER STREET,WATERBURY,CT,06704-2813,retain_unresolved_source_site_for_review,DEV_CTA0000X018,identity_decision_does_not_validate_this_source_site_for_geocoding,"Waterbury Parcel Viewer, parcel 0202-0559-0039",official_local_parcel_api,https://webgis.waterburyct.org/arcgis/rest/services/Waterbury/Parcel_Viewer/MapServer/11/query?where=MBL%3D%270202-0559-0039%27&outFields=OBJECTID%2CMBL%2CLOCATION%2COWNER%2CACRES%2CGIS_Acres%2CLAT%2CLON&returnGeometry=true&outSR=4326&f=geojson,Waterbury's parcel API identifies one parcel at 154 Warner Street owned by Omni Davis Gardens LP; CHFA records describe Davis Gardens phases I and II.,not_approved,2026-08-11
SISR_CT_DAVIS_GARDENS,DEV_CTA0000X018,DEV_CTA0000X018_SITE_0002,CT|242 WARNER ST 3 7 WARNER PL|WATERBURY,"242 WARNER STREET, 3-7 WARNER PLACE",WATERBURY,CT,6704,retain_unresolved_source_site_for_review,DEV_CTA0000X018,identity_decision_does_not_validate_this_source_site_for_geocoding,"Waterbury Parcel Viewer, parcel 0202-0559-0039",official_local_parcel_api,https://webgis.waterburyct.org/arcgis/rest/services/Waterbury/Parcel_Viewer/MapServer/11/query?where=MBL%3D%270202-0559-0039%27&outFields=OBJECTID%2CMBL%2CLOCATION%2COWNER%2CACRES%2CGIS_Acres%2CLAT%2CLON&returnGeometry=true&outSR=4326&f=geojson,Waterbury's parcel API identifies one parcel at 154 Warner Street owned by Omni Davis Gardens LP; CHFA records describe Davis Gardens phases I and II.,not_approved,2026-08-11
SISR_CT_DAVIS_GARDENS,DEV_CTA0000X019,DEV_CTA0000X019_SITE_0001,CT|18 GARDEN CIR|WATERBURY,18 GARDEN CIRCLE,WATERBURY,CT,06704-2803,retain_unresolved_source_site_for_review,DEV_CTA0000X018,identity_decision_does_not_validate_this_source_site_for_geocoding,"Waterbury Parcel Viewer, parcel 0202-0559-0039",official_local_parcel_api,https://webgis.waterburyct.org/arcgis/rest/services/Waterbury/Parcel_Viewer/MapServer/11/query?where=MBL%3D%270202-0559-0039%27&outFields=OBJECTID%2CMBL%2CLOCATION%2COWNER%2CACRES%2CGIS_Acres%2CLAT%2CLON&returnGeometry=true&outSR=4326&f=geojson,Waterbury's parcel API identifies one parcel at 154 Warner Street owned by Omni Davis Gardens LP; CHFA records describe Davis Gardens phases I and II.,not_approved,2026-08-11
SISR_CT_DOWNTOWN_WEST_GATE,DEV_CTA0000X020,DEV_CTA0000X020_SITE_0001,CT|515 W AVE|BRIDGEPORT,515 WEST AVE,BRIDGEPORT,CT,06604,retain_unresolved_source_site_for_review,DEV_CTA0000X020,identity_decision_does_not_validate_this_source_site_for_geocoding,CHFA 2019 CGS 8-37bb Report,official_state_housing_finance_agency,https://www.chfa.org/assets/1/6/2019_CGS_8-37bb.pdf,"CHFA identifies Downtown West Gate as a distinct 48-unit Bridgeport development, but the cited report does not provide 515 West Avenue, so the inherited source site remains unresolved.",not_approved,2026-08-11
SISR_CT_ECC_RAD_I,DEV_CTA0000X021,DEV_CTA0000X021_SITE_0001,CT|11 DAISY ST|NEW HAVEN,11 DAISY ST,NEW HAVEN,CT,06511,keep_nonphysical_bridge_site,DEV_CTA0000X021,retain_source_site_only_as_an_episode_to_property_bridge_candidate,Elm City Communities FY2024 MTW Report,official_local_housing_authority,https://elmcitycommunities.org/wp-content/uploads/2024/11/MTW-FY2024-Report-PC-version-1124.pdf,"Elm City Communities reports ECC RAD Group I as a portfolio of Prescott Bush, Constance B. Motley, Katherine Harvey Terrace, and Newhall Gardens, confirming a financing grouping across four physical properties.",not_approved,2026-08-11
SISR_CT_ECC_RAD_I,DEV_CTA0000X021,DEV_CTA0000X021_SITE_0002,CT|5 DAISY ST|NEW HAVEN,5 DAISY STREET,NEW HAVEN,CT,6511,keep_nonphysical_bridge_site,DEV_CTA0000X021,retain_source_site_only_as_an_episode_to_property_bridge_candidate,Elm City Communities FY2024 MTW Report,official_local_housing_authority,https://elmcitycommunities.org/wp-content/uploads/2024/11/MTW-FY2024-Report-PC-version-1124.pdf,"Elm City Communities reports ECC RAD Group I as a portfolio of Prescott Bush, Constance B. Motley, Katherine Harvey Terrace, and Newhall Gardens, confirming a financing grouping across four physical properties.",not_approved,2026-08-11
SISR_CT_ECC_RAD_II,DEV_CTA0000X022,DEV_CTA0000X022_SITE_0001,CT|1000 QUINNIPIAC AVE|NEW HAVEN,1000 QUINNIPIAC AVE,NEW HAVEN,CT,06513,keep_nonphysical_bridge_site,DEV_CTA0000X022,retain_source_site_only_as_an_episode_to_property_bridge_candidate,Elm City Communities FY2024 MTW Report,official_local_housing_authority,https://elmcitycommunities.org/wp-content/uploads/2024/11/MTW-FY2024-Report-PC-version-1124.pdf,"Elm City Communities reports ECC RAD Group II as a portfolio of Fulton Park, Stanley Justice, and Waverly Townhouses, confirming a financing grouping across three physical properties.",not_approved,2026-08-11
SISR_CT_ECC_RAD_III,DEV_CTA0000X023,DEV_CTA0000X023_SITE_0001,CT|358 ORANGE ST|NEW HAVEN,358 ORANGE STREET,NEW HAVEN,CT,06511,keep_nonphysical_bridge_site,DEV_CTA0000X023,retain_source_site_only_as_an_episode_to_property_bridge_candidate,Elm City Communities FY2024 MTW Report,official_local_housing_authority,https://elmcitycommunities.org/wp-content/uploads/2024/11/MTW-FY2024-Report-PC-version-1124.pdf,"Elm City Communities reports ECC RAD Group III as a portfolio of Charles T. McQueeney and Winslow-Celentano, confirming a financing grouping across two physical properties.",not_approved,2026-08-11
SISR_CT_ECC_RAD_III,DEV_CTA0000X023,DEV_CTA0000X023_SITE_0002,CT|60 WARREN ST|NEW HAVEN,60 WARREN STREET,NEW HAVEN,CT,6511,keep_nonphysical_bridge_site,DEV_CTA0000X023,retain_source_site_only_as_an_episode_to_property_bridge_candidate,Elm City Communities FY2024 MTW Report,official_local_housing_authority,https://elmcitycommunities.org/wp-content/uploads/2024/11/MTW-FY2024-Report-PC-version-1124.pdf,"Elm City Communities reports ECC RAD Group III as a portfolio of Charles T. McQueeney and Winslow-Celentano, confirming a financing grouping across two physical properties.",not_approved,2026-08-11
