identity_question_id,review_origin,pass1_identity_decision,pass1_reason_code,pass1_notes,pass1_reviewed_on,pass2_identity_decision,pass2_reason_code,pass2_search_engine,pass2_search_url,pass2_source_title,pass2_source_type,pass2_source_url,pass2_notes,pass2_reviewed_on,final_identity_decision,final_reason_code,address_overlap_class,final_notes,final_reviewed_on,shared_geocoding_query_decision,source_rows_changed
XDAQ_0001,new_two_pass_review,merge,internal_identity_evidence_supports_one_development,"Internal read: names, state IDs, primary sites, complete address sets, years, and unit scopes were read together for pattern state_id_name_variant_same_timing_units. No single field was treated as dispositive.",2026-08-10,merge,duplicate_reporting_same_physical_development,Google,https://www.google.com/search?q=EAGLE%20RIDGE%20OF%20PALMER%20AK%7C1775%20N%20THUMA%20ST%7CPALMER%20AK%20affordable%20housing,"Eagle Ridge of Palmer | Affordable Housing in Palmer, AK",public_property_directory,https://affordablehousinghub.org/housing/alaska/matanuska-susitna-county/palmer/eagle-ridge-of-palmer-25267-lihtc,"Outside read: the retained public record matches the reviewed property name, location, or unit scope. Read with the internal state-ID, timing, unit, and address-set evidence, the records describe one physical development. Source rows remain unchanged.",2026-08-10,merge,duplicate_reporting_same_physical_development,same_physical_development_address,Merge only physical-development identifiers. Preserve every HUD row as a project episode and every site row. Do not sum units here.,2026-08-10,not_approved,FALSE
XDAQ_0002,carried_forward_completed_two_pass_review,defer,internal_evidence_requires_outside_confirmation,"Internal read: names, state IDs, primary sites, complete address sets, years, and unit scopes were read together for pattern carried_forward_previous_retain_separate. No single field was treated as dispositive.",2026-08-10,retain_separate,distinct_phases_or_components_same_address,Google,https://www.google.com/search?q=GLACIER%20VILLAGE%20PHASE%20I%20AK%7CCANYON%20DR%7CJUNEAU%20AK%20affordable%20housing,LIHTC Properties in Alaska Through 2021,sector_compilation,https://www.novoco.com/public-media/documents/alaska-lihtc-properties-to-2021-082023.pdf,"Outside read: the retained source identifies separately named phases, components, or projects at the shared address. The changed unit scopes are consistent with distinct physical-development records, so the same state ID and address are not sufficient to collapse them.",2026-08-10,retain_separate,distinct_phases_or_components_same_address,distinct_phase_or_component_common_address,Retain current physical-development identifiers and the overlap class for later source repair. Do not create a shared query.,2026-08-10,not_approved,FALSE
XDAQ_0003,carried_forward_completed_two_pass_review,defer,internal_evidence_requires_outside_confirmation,"Internal read: names, state IDs, primary sites, complete address sets, years, and unit scopes were read together for pattern carried_forward_previous_retain_separate. No single field was treated as dispositive.",2026-08-10,retain_separate,distinct_phases_or_components_same_address,Google,https://www.google.com/search?q=PARK%20PLACE%20I%20AL%7C600%2024TH%20ST%20N%7CBIRMINGHAM%20AL%20affordable%20housing,Birmingham HUD housing property list,property_directory,https://www.hudhouses.us/city/al-birmingham,"Outside read: the retained source identifies separately named phases, components, or projects at the shared address. The changed unit scopes are consistent with distinct physical-development records, so the same state ID and address are not sufficient to collapse them.",2026-08-10,retain_separate,distinct_phases_or_components_same_address,distinct_phase_or_component_common_address,Retain current physical-development identifiers and the overlap class for later source repair. Do not create a shared query.,2026-08-10,not_approved,FALSE
XDAQ_0004,new_two_pass_review,merge,internal_identity_evidence_supports_one_development,"Internal read: names, state IDs, primary sites, complete address sets, years, and unit scopes were read together for pattern state_id_other. No single field was treated as dispositive.",2026-08-10,merge,same_multisite_physical_development,Google,https://www.google.com/search?q=AUBURN%20VILLA%20APARTMENTS%20CA%7C618%20MIKKELSEN%20DR%7CAUBURN%20CA%20affordable%20housing,"Auburn Villa Apts | Affordable Housing in Auburn, CA",public_property_directory,https://affordablehousinghub.org/housing/california/placer-county/auburn/auburn-villa-apts-29514-lihtc,"Outside read: the retained public record matches the reviewed property name, location, or unit scope. Read with the internal state-ID, timing, unit, and address-set evidence, the records describe one physical development. Source rows remain unchanged.",2026-08-10,merge,same_multisite_physical_development,same_physical_development_address,Merge only physical-development identifiers. Preserve every HUD row as a project episode and every site row. Do not sum units here.,2026-08-10,not_approved,FALSE
XDAQ_0005,new_two_pass_review,merge,internal_identity_evidence_supports_one_development,"Internal read: names, state IDs, primary sites, complete address sets, years, and unit scopes were read together for pattern state_id_other. No single field was treated as dispositive.",2026-08-10,merge,same_multisite_physical_development,Google,https://www.google.com/search?q=LOMPOC%20TERRACE%20CA%7C1001%20W%20APRICOT%20AVE%7CLOMPOC%20CA%20affordable%20housing,"Lompoc Terrace | Affordable Housing in Lompoc, CA",public_property_directory,https://affordablehousinghub.org/housing/california/santa-barbara-county/lompoc/lompoc-terrace-1019-lihtc,"Outside read: the retained public record matches the reviewed property name, location, or unit scope. Read with the internal state-ID, timing, unit, and address-set evidence, the records describe one physical development. Source rows remain unchanged.",2026-08-10,merge,same_multisite_physical_development,same_physical_development_address,Merge only physical-development identifiers. Preserve every HUD row as a project episode and every site row. Do not sum units here.,2026-08-10,not_approved,FALSE
XDAQ_0006,new_two_pass_review,merge,internal_identity_evidence_supports_one_development,"Internal read: names, state IDs, primary sites, complete address sets, years, and unit scopes were read together for pattern state_id_name_variant_same_timing_units. No single field was treated as dispositive.",2026-08-10,merge,duplicate_reporting_same_physical_development,Google,https://www.google.com/search?q=PALM%20GROVE%20APARTMENTS%20CA%7C2%20PALM%20DR%7CLOMPOC%20CA%20affordable%20housing,"Palm Grove Apartments | Affordable Housing in Lompoc, CA",public_property_directory,https://affordablehousinghub.org/housing/california/santa-barbara-county/lompoc/palm-grove-apartments-1068-lihtc,"Outside read: the retained public record matches the reviewed property name, location, or unit scope. Read with the internal state-ID, timing, unit, and address-set evidence, the records describe one physical development. Source rows remain unchanged.",2026-08-10,merge,duplicate_reporting_same_physical_development,same_physical_development_address,Merge only physical-development identifiers. Preserve every HUD row as a project episode and every site row. Do not sum units here.,2026-08-10,not_approved,FALSE
XDAQ_0007,new_two_pass_review,merge,internal_identity_evidence_supports_one_development,"Internal read: names, state IDs, primary sites, complete address sets, years, and unit scopes were read together for pattern state_id_other. No single field was treated as dispositive.",2026-08-10,merge,same_multisite_physical_development,Google,https://www.google.com/search?q=VISTA%20DEL%20MAR%20CA%7C137%20S%20PALM%20ST%7CVENTURA%20CA%20affordable%20housing,CTCAC staff report: Vista Del Mar Commons,allocating_agency_record,https://www.treasurer.ca.gov/ctcac/meeting/staff/2013/20130612/065.pdf,"Outside read: the retained public record matches the reviewed property name, location, or unit scope. Read with the internal state-ID, timing, unit, and address-set evidence, the records describe one physical development. Source rows remain unchanged.",2026-08-10,merge,same_multisite_physical_development,same_physical_development_address,Merge only physical-development identifiers. Preserve every HUD row as a project episode and every site row. Do not sum units here.,2026-08-10,not_approved,FALSE
XDAQ_0008,new_two_pass_review,merge,internal_identity_evidence_supports_one_development,"Internal read: names, state IDs, primary sites, complete address sets, years, and unit scopes were read together for pattern state_id_other. No single field was treated as dispositive.",2026-08-10,merge,same_multisite_physical_development,Google,https://www.google.com/search?q=EMERALD%20PALMS%20FL%7C4331%20SW%2054TH%20ST%7CFT%20LAUDERDALE%20FL%20affordable%20housing,"Emerald Palms - Fort Lauderdale | Affordable Housing in Ft Lauderdale, FL",public_property_directory,https://affordablehousinghub.org/housing/florida/broward-county/ft-lauderdale/emerald-palms-fort-lauderdale-3571-lihtc,"Outside read: the retained public record matches the reviewed property name, location, or unit scope. Read with the internal state-ID, timing, unit, and address-set evidence, the records describe one physical development. Source rows remain unchanged.",2026-08-10,merge,same_multisite_physical_development,same_physical_development_address,Merge only physical-development identifiers. Preserve every HUD row as a project episode and every site row. Do not sum units here.,2026-08-10,not_approved,FALSE
XDAQ_0009,new_two_pass_review,merge,internal_identity_evidence_supports_one_development,"Internal read: names, state IDs, primary sites, complete address sets, years, and unit scopes were read together for pattern same_name_same_units_later_episode. No single field was treated as dispositive.",2026-08-10,merge,later_financing_episode_same_physical_development,Google,https://www.google.com/search?q=LA%20ESTANCIA%20FL%7C5201%20GUADALUPE%20BLVD%7CWIMAUMA%20FL%20affordable%20housing,"La Estancia | Affordable Housing in Wimauma, FL",public_property_directory,https://affordablehousinghub.org/housing/florida/hillsborough-county/wimauma/la-estancia-2367-lihtc,"Outside read: the retained public record matches the reviewed property name, location, or unit scope. Read with the internal state-ID, timing, unit, and address-set evidence, the records describe one physical development. Source rows remain unchanged.",2026-08-10,merge,later_financing_episode_same_physical_development,same_physical_development_address,Merge only physical-development identifiers. Preserve every HUD row as a project episode and every site row. Do not sum units here.,2026-08-10,not_approved,FALSE
XDAQ_0010,carried_forward_completed_two_pass_review,defer,internal_evidence_requires_outside_confirmation,"Internal read: names, state IDs, primary sites, complete address sets, years, and unit scopes were read together for pattern carried_forward_previous_retain_separate. No single field was treated as dispositive.",2026-08-10,retain_separate,distinct_phases_or_components_same_address,Google,https://www.google.com/search?q=ASHTON%20OF%20RICHMOND%20HILL%20PHASE%20I%20GA%7C505%20HARRIS%20TRL%20RD%7CRICHMOND%20HILL%20GA%20affordable%20housing,"Ashton of Richmond Hill Phase I | Affordable Housing in Richmond Hill, GA",property_directory,https://affordablehousinghub.org/housing/georgia/bryan-county/richmond-hill/ashton-of-richmond-hill-phase-i-4486-lihtc,"Outside read: the retained source identifies separately named phases, components, or projects at the shared address. The changed unit scopes are consistent with distinct physical-development records, so the same state ID and address are not sufficient to collapse them.",2026-08-10,retain_separate,distinct_phases_or_components_same_address,distinct_phase_or_component_common_address,Retain current physical-development identifiers and the overlap class for later source repair. Do not create a shared query.,2026-08-10,not_approved,FALSE
XDAQ_0011,new_two_pass_review,merge,internal_identity_evidence_supports_one_development,"Internal read: names, state IDs, primary sites, complete address sets, years, and unit scopes were read together for pattern same_name_changed_units_or_timing. No single field was treated as dispositive.",2026-08-10,merge,same_multisite_physical_development,Google,https://www.google.com/search?q=HEARTHSIDE%20TUCKER%20GA%7C4358%20LYNBURN%20DR%7CTUCKER%20GA%20affordable%20housing,"Hearthside Tucker | Affordable Housing in Tucker, GA",public_property_directory,https://affordablehousinghub.org/housing/georgia/dekalb-county/tucker/hearthside-tucker-3866-lihtc,"Outside read: the retained public record matches the reviewed property name, location, or unit scope. Read with the internal state-ID, timing, unit, and address-set evidence, the records describe one physical development. Source rows remain unchanged.",2026-08-10,merge,same_multisite_physical_development,same_physical_development_address,Merge only physical-development identifiers. Preserve every HUD row as a project episode and every site row. Do not sum units here.,2026-08-10,not_approved,FALSE
XDAQ_0012,new_two_pass_review,merge,internal_identity_evidence_supports_one_development,"Internal read: names, state IDs, primary sites, complete address sets, years, and unit scopes were read together for pattern same_name_same_timing_units. No single field was treated as dispositive.",2026-08-10,merge,duplicate_reporting_same_physical_development,Google,https://www.google.com/search?q=MONTDELE%20DEVELOPMENT%20GA%7C710%20VIENNA%20RD%7CCORDELE%20GA%20affordable%20housing,"Montdele Development | Affordable Housing in Cordele, GA",public_property_directory,https://affordablehousinghub.org/housing/georgia/crisp-county/cordele/montdele-development-5475-lihtc,"Outside read: the retained public record matches the reviewed property name, location, or unit scope. Read with the internal state-ID, timing, unit, and address-set evidence, the records describe one physical development. Source rows remain unchanged.",2026-08-10,merge,duplicate_reporting_same_physical_development,same_physical_development_address,Merge only physical-development identifiers. Preserve every HUD row as a project episode and every site row. Do not sum units here.,2026-08-10,not_approved,FALSE
XDAQ_0013,new_two_pass_review,merge,internal_identity_evidence_supports_one_development,"Internal read: names, state IDs, primary sites, complete address sets, years, and unit scopes were read together for pattern state_id_other. No single field was treated as dispositive.",2026-08-10,merge,same_multisite_physical_development,Google,https://www.google.com/search?q=THE%20VILLAGE%20OF%20BEN%20HILL%20GA%7C216%20DEWEY%20MCGLAMY%20RD%7CFITZGERALD%20GA%20affordable%20housing,"Village of Ben Hill | Affordable Housing in Fitzgerald, GA",public_property_directory,https://affordablehousinghub.org/housing/georgia/ben-hill-county/fitzgerald/village-of-ben-hill-4770-lihtc,"Outside read: the retained public record matches the reviewed property name, location, or unit scope. Read with the internal state-ID, timing, unit, and address-set evidence, the records describe one physical development. Source rows remain unchanged.",2026-08-10,merge,same_multisite_physical_development,same_physical_development_address,Merge only physical-development identifiers. Preserve every HUD row as a project episode and every site row. Do not sum units here.,2026-08-10,not_approved,FALSE
XDAQ_0014,new_two_pass_review,merge,internal_identity_evidence_supports_one_development,"Internal read: names, state IDs, primary sites, complete address sets, years, and unit scopes were read together for pattern state_id_name_variant_same_timing_units. No single field was treated as dispositive.",2026-08-10,merge,duplicate_reporting_same_physical_development,Google,https://www.google.com/search?q=LAHAINA%20HONOKOWAI%20VILLA%20APARTMENTS%20HI%7C3535%20LOWER%20HONOAPIILANI%20RD%7CLAHAINA%20HI%20affordable%20housing,"Lahaina Honokowai Villa Apts | Affordable Housing in Lahaina, HI",public_property_directory,https://affordablehousinghub.org/housing/hawaii/maui-county/lahaina/lahaina-honokowai-villa-apts-5111-lihtc,"Outside read: the retained public record matches the reviewed property name, location, or unit scope. Read with the internal state-ID, timing, unit, and address-set evidence, the records describe one physical development. Source rows remain unchanged.",2026-08-10,merge,duplicate_reporting_same_physical_development,same_physical_development_address,Merge only physical-development identifiers. Preserve every HUD row as a project episode and every site row. Do not sum units here.,2026-08-10,not_approved,FALSE
