review_index,development_id,review_category,development_name,development_city,development_state,n_project_episodes,first_pis_year,last_pis_year,development_linkage_basis,episode_unit_totals,episode_low_income_unit_totals,state_ids,primary_addresses,pass1_decision,pass1_reason_code,pass1_notes,pass1_reviewed_on,pass2_decision,pass2_reason_code,pass2_search_engine,pass2_search_url,pass2_source_1_title,pass2_source_1_type,pass2_source_1_url,pass2_source_2_title,pass2_source_2_type,pass2_source_2_url,pass2_notes,pass2_reviewed_on,final_decision,final_reason_code,final_notes,final_reviewed_on
1,DEV_MOA19960035,candidate_one_unit_fragments,5930 CYPRESS PL,KANSAS CITY,MO,2,1996,1996,normalized_name_standardized_primary_address,1,1,900206|94-027,5930 CYPRESS PL,accept,duplicate_hud_records,"Internal HUD read: MOA19960035 (PIS 1996, state ID 94-027, units 1); MOA19960036 (PIS 1996, state ID 900206, units 1). Link evidence: normalized_name_standardized_primary_address. Distinct published primary-address strings: 1.",2026-08-09,accept,external_property_identity_consistent,Google,https://www.google.com/search?q=%225930%20CYPRESS%20PL%22%20%22KANSAS%20CITY%22%20%225930%20CYPRESS%20PL%22%20affordable%20housing,"5930 Cypress Pl | Affordable Housing in Kansas City, MO Affordable Housing Hub https://affordablehousinghub.org › ... › Kansas City",housing_directory_or_other_web_source,https://affordablehousinghub.org/housing/missouri/jackson-county/kansas-city/5930-cypress-pl-16449-lihtc,"5930 Cypress Pl, Kansas City, MO 64130 Realtor.com https://www.realtor.com › ... › Kansas City › Cypress Pl",property_listing_or_public_records,https://www.realtor.com/realestateandhomes-detail/5930-Cypress-Pl_Kansas-City_MO_64130_M72599-77920,Outside read via Google: a property-specific source identifies the matched name and location. This outside evidence is used for linkage only; it does not adjudicate the conflicting or repeated unit totals.,2026-08-09,accept,duplicate_hud_records,Accept the provisional linkage as one physical development. Preserve the component HUD records as project episodes. Unit aggregation is a separate unresolved decision.,2026-08-09
2,DEV_MSA19880050,candidate_one_unit_fragments,WILSON COURT,JACKSON,MS,2,1988,1988,normalized_name_standardized_primary_address,1,1,88-094,1014 CLEARY ST|1014 CLEARY STREET,accept,same_named_scattered_site_development,"Internal HUD read: MSA19880050 (PIS 1988, state ID NA, units 1); MSA19880161 (PIS 1988, state ID 88-094, units 1). Link evidence: normalized_name_standardized_primary_address. Distinct published primary-address strings: 2.",2026-08-09,accept,external_property_identity_consistent,Google,https://www.google.com/search?q=%22WILSON%20COURT%22%20%22JACKSON%22%20%221014%20CLEARY%20ST%22%20affordable%20housing,WILSON COURT - Apartments for Rent apartmentsforrentnet.com https://www.apartmentsforrentnet.com › property › WIL...,housing_directory_or_other_web_source,https://www.apartmentsforrentnet.com/property/LIHTC_MSA19880050/WILSON-COURT,,,,Outside read via Google: a property-specific source identifies the matched name and location. This outside evidence is used for linkage only; it does not adjudicate the conflicting or repeated unit totals.,2026-08-09,accept,same_named_scattered_site_development,Accept the provisional linkage as one physical development. Preserve the component HUD records as project episodes. Unit aggregation is a separate unresolved decision.,2026-08-09
3,DEV_NCA19940030,candidate_one_unit_fragments,1006 PARKTHROUGH ST,CARY,NC,2,1994,1994,normalized_name_identical_multisite_set+normalized_name_standardized_primary_address,1,1,880|9001933,1006 PARKTHROUGH ST,accept,duplicate_hud_records,"Internal HUD read: NCA19940030 (PIS 1994, state ID 880, units 1); NCA19949004 (PIS 1994, state ID 9001933, units 1). Link evidence: normalized_name_identical_multisite_set+normalized_name_standardized_primary_address. Distinct published primary-address strings: 1.",2026-08-09,accept,external_property_identity_consistent,Google,https://www.google.com/search?q=%221006%20PARKTHROUGH%20ST%22%20%22CARY%22%20%221006%20PARKTHROUGH%20ST%22%20affordable%20housing,"1006 Parkthrough St | Affordable Housing in Cary, NC Affordable Housing Hub https://affordablehousinghub.org › ... › Cary",housing_directory_or_other_web_source,https://affordablehousinghub.org/housing/north-carolina/wake-county/cary/1006-parkthrough-st-20294-lihtc,"1006 Parkthrough St - Affordable Housing in Cary, NC Affordable Housing Heroes https://affordablehousingheroes.com › north-carolina › 1...",housing_directory_or_other_web_source,https://affordablehousingheroes.com/listings/north-carolina/cary/1006-parkthrough-st/v80kv6p7am55r4t1al56hggx,Outside read via Google: a property-specific source identifies the matched name and location. This outside evidence is used for linkage only; it does not adjudicate the conflicting or repeated unit totals.,2026-08-09,accept,duplicate_hud_records,Accept the provisional linkage as one physical development. Preserve the component HUD records as project episodes. Unit aggregation is a separate unresolved decision.,2026-08-09
4,DEV_NCA19950130,candidate_one_unit_fragments,2926 FAVERSHAM PL,RALEIGH,NC,2,1995,1995,normalized_name_identical_multisite_set+normalized_name_standardized_primary_address,1,1,1053|9002045,2926 FAVERSHAM PL,accept,duplicate_hud_records,"Internal HUD read: NCA19950130 (PIS 1995, state ID 1053, units 1); NCA19959025 (PIS 1995, state ID 9002045, units 1). Link evidence: normalized_name_identical_multisite_set+normalized_name_standardized_primary_address. Distinct published primary-address strings: 1.",2026-08-09,accept,external_property_identity_consistent,Google,https://www.google.com/search?q=%222926%20FAVERSHAM%20PL%22%20%22RALEIGH%22%20%222926%20FAVERSHAM%20PL%22%20affordable%20housing,"2926 Faversham Pl | Affordable Housing in Raleigh, NC Affordable Housing Hub https://affordablehousinghub.org › ... › Raleigh",housing_directory_or_other_web_source,https://affordablehousinghub.org/housing/north-carolina/wake-county/raleigh/2926-faversham-pl-19799-lihtc,"2926 Faversham Pl, Raleigh, NC 27604 Realtor.com https://www.realtor.com › ... › Raleigh › Faversham Pl",property_listing_or_public_records,https://www.realtor.com/realestateandhomes-detail/2926-Faversham-Pl_Raleigh_NC_27604_M56912-64774,Outside read via Google: a property-specific source identifies the matched name and location. This outside evidence is used for linkage only; it does not adjudicate the conflicting or repeated unit totals.,2026-08-09,accept,duplicate_hud_records,Accept the provisional linkage as one physical development. Preserve the component HUD records as project episodes. Unit aggregation is a separate unresolved decision.,2026-08-09
5,DEV_NCA19910035,candidate_one_unit_fragments,AUNT MARY AVE,GREENSBORO,NC,3,1991,1993,normalized_name_identical_multisite_set+normalized_name_standardized_primary_address,1,1,670|671|9001752,204 AUNT MARY AVE|208 AUNT MARY AVE,accept,same_named_scattered_site_development,"Internal HUD read: NCA19910035 (PIS 1991, state ID 670, units 1); NCA19930085 (PIS 1993, state ID 671, units 1); NCA19939010 (PIS 1993, state ID 9001752, units 1). Link evidence: normalized_name_identical_multisite_set+normalized_name_standardized_primary_address. Distinct published primary-address strings: 2.",2026-08-09,accept,external_property_identity_consistent,Google,https://www.google.com/search?q=%22AUNT%20MARY%20AVE%22%20%22GREENSBORO%22%20%22204%20AUNT%20MARY%20AVE%22%20affordable%20housing,"Aunt Mary Ave | Affordable Housing in Greensboro, NC Affordable Housing Hub https://affordablehousinghub.org › ... › Greensboro",housing_directory_or_other_web_source,https://affordablehousinghub.org/housing/north-carolina/guilford/greensboro/aunt-mary-ave-18701-lihtc,"204 Aunt Mary Ave, Greensboro, NC 27405 Realtor.com https://www.realtor.com › ... › Aunt Mary Ave",property_listing_or_public_records,https://www.realtor.com/realestateandhomes-detail/204-Aunt-Mary-Ave_Greensboro_NC_27405_M59056-44553,Outside read via Google: a property-specific source identifies the matched name and location. This outside evidence is used for linkage only; it does not adjudicate the conflicting or repeated unit totals.,2026-08-09,accept,same_named_scattered_site_development,Accept the provisional linkage as one physical development. Preserve the component HUD records as project episodes. Unit aggregation is a separate unresolved decision.,2026-08-09
6,DEV_NCA19900085,candidate_one_unit_fragments,AUTUMN ACRES: LOT 5,WILSON,NC,2,1990,1990,normalized_name_identical_multisite_set+normalized_name_standardized_primary_address,1,1,534|9002158,4515 WEBB LAKE RD|4515 WEBB LAKE ROAD,accept,same_named_scattered_site_development,"Internal HUD read: NCA19900085 (PIS 1990, state ID 534, units 1); NCA19909002 (PIS 1990, state ID 9002158, units 1). Link evidence: normalized_name_identical_multisite_set+normalized_name_standardized_primary_address. Distinct published primary-address strings: 2.",2026-08-09,accept,external_property_identity_consistent,Google,https://www.google.com/search?q=%22AUTUMN%20ACRES%3A%20LOT%205%22%20%22WILSON%22%20%224515%20WEBB%20LAKE%20RD%22%20affordable%20housing,"Autumn Acres: Lot 5 | Affordable Housing in Wilson, NC Affordable Housing Hub https://affordablehousinghub.org › ... › Wilson",housing_directory_or_other_web_source,https://affordablehousinghub.org/housing/north-carolina/wilson-county/wilson/autumn-acres-lot-5-18942-lihtc,"Autumn Acres: Lot 5 - Affordable Housing in Wilson, NC | Section 8 ... section8search.org https://section8search.org › North Carolina › WILSON",housing_directory_or_other_web_source,https://section8search.org/north-carolina/wilson/autumn-acres-lot-5/w36xlmd6lzm9oorc8k7ku3h2,Outside read via Google: a property-specific source identifies the matched name and location. This outside evidence is used for linkage only; it does not adjudicate the conflicting or repeated unit totals.,2026-08-09,accept,same_named_scattered_site_development,Accept the provisional linkage as one physical development. Preserve the component HUD records as project episodes. Unit aggregation is a separate unresolved decision.,2026-08-09
7,DEV_NCA19900090,candidate_one_unit_fragments,AUTUMN ACRES: LOT 6,WILSON,NC,2,1990,1990,normalized_name_identical_multisite_set+normalized_name_standardized_primary_address,1,1,535|9000743,4601 WEBB LAKE RD|4601 WEBB LAKE ROAD,accept,same_named_scattered_site_development,"Internal HUD read: NCA19900090 (PIS 1990, state ID 535, units 1); NCA19909003 (PIS 1990, state ID 9000743, units 1). Link evidence: normalized_name_identical_multisite_set+normalized_name_standardized_primary_address. Distinct published primary-address strings: 2.",2026-08-09,accept,external_property_identity_consistent,Google,https://www.google.com/search?q=%22AUTUMN%20ACRES%3A%20LOT%206%22%20%22WILSON%22%20%224601%20WEBB%20LAKE%20RD%22%20affordable%20housing,"Autumn Acres: Lot 6 | Affordable Housing in Wilson, NC Affordable Housing Hub https://affordablehousinghub.org › ... › Wilson",housing_directory_or_other_web_source,https://affordablehousinghub.org/housing/north-carolina/wilson/wilson/autumn-acres-lot-6-18943-lihtc,"Autumn Acres: Lot 6 - Affordable Housing in Wilson, NC | Section 8 ... section8search.org https://section8search.org › North Carolina › WILSON",housing_directory_or_other_web_source,https://section8search.org/north-carolina/wilson/autumn-acres-lot-6/x155598f8h05t2vzwiz87soa,Outside read via Google: a property-specific source identifies the matched name and location. This outside evidence is used for linkage only; it does not adjudicate the conflicting or repeated unit totals.,2026-08-09,accept,same_named_scattered_site_development,Accept the provisional linkage as one physical development. Preserve the component HUD records as project episodes. Unit aggregation is a separate unresolved decision.,2026-08-09
8,DEV_NCA19900095,candidate_one_unit_fragments,AUTUMN ACRES: LOT 7,WILSON,NC,2,1990,1990,normalized_name_identical_multisite_set+normalized_name_standardized_primary_address,1,1,536|9000742,4607 WEBB LAKE RD|4607 WEBB LAKE ROAD,accept,same_named_scattered_site_development,"Internal HUD read: NCA19900095 (PIS 1990, state ID 536, units 1); NCA19909004 (PIS 1990, state ID 9000742, units 1). Link evidence: normalized_name_identical_multisite_set+normalized_name_standardized_primary_address. Distinct published primary-address strings: 2.",2026-08-09,accept,external_property_identity_consistent,Google,https://www.google.com/search?q=%22AUTUMN%20ACRES%3A%20LOT%207%22%20%22WILSON%22%20%224607%20WEBB%20LAKE%20RD%22%20affordable%20housing,"Autumn Acres Lot 7 | Affordable Housing in Wilson, NC Affordable Housing Hub https://affordablehousinghub.org › ... › Wilson",housing_directory_or_other_web_source,https://affordablehousinghub.org/housing/north-carolina/wilson/wilson/autumn-acres-lot-7-19589-lihtc,Autumn Acres Lot 7 - UsLowCostHousing - Find Section 8 Housing ... UsLowCostHousing https://s8.uslowcosthousing.com › ... › Wilson,housing_directory_or_other_web_source,https://s8.uslowcosthousing.com/state/nc/wilson/autumn-acres-lot-7-34255/,Outside read via Google: a property-specific source identifies the matched name and location. This outside evidence is used for linkage only; it does not adjudicate the conflicting or repeated unit totals.,2026-08-09,accept,same_named_scattered_site_development,Accept the provisional linkage as one physical development. Preserve the component HUD records as project episodes. Unit aggregation is a separate unresolved decision.,2026-08-09
9,DEV_NCA19900100,candidate_one_unit_fragments,AUTUMN ACRES: LOT 8,WILSON,NC,2,1990,1990,normalized_name_identical_multisite_set+normalized_name_standardized_primary_address,1,1,537|9000728,4611 WEBB LAKE RD|4611 WEBB LAKE ROAD,accept,same_named_scattered_site_development,"Internal HUD read: NCA19900100 (PIS 1990, state ID 537, units 1); NCA19909005 (PIS 1990, state ID 9000728, units 1). Link evidence: normalized_name_identical_multisite_set+normalized_name_standardized_primary_address. Distinct published primary-address strings: 2.",2026-08-09,accept,external_property_identity_consistent,Google,https://www.google.com/search?q=%22AUTUMN%20ACRES%3A%20LOT%208%22%20%22WILSON%22%20%224611%20WEBB%20LAKE%20RD%22%20affordable%20housing,Autumn Acres: Lot 8 - UsLowCostHousing UsLowCostHousing https://s8.uslowcosthousing.com › ... › Wilson,housing_directory_or_other_web_source,https://s8.uslowcosthousing.com/state/nc/wilson/autumn-acres-lot-8-34258/,"Autumn Acres: Lot 8 | Affordable Housing in Wilson, NC Affordable Housing Hub https://affordablehousinghub.org › ... › Wilson",housing_directory_or_other_web_source,https://affordablehousinghub.org/housing/north-carolina/wilson-county/wilson/autumn-acres-lot-8-18945-lihtc,Outside read via Google: a property-specific source identifies the matched name and location. This outside evidence is used for linkage only; it does not adjudicate the conflicting or repeated unit totals.,2026-08-09,accept,same_named_scattered_site_development,Accept the provisional linkage as one physical development. Preserve the component HUD records as project episodes. Unit aggregation is a separate unresolved decision.,2026-08-09
10,DEV_NCA19920085,candidate_one_unit_fragments,BERKSHIRE DOWNS,RALEIGH,NC,19,1992,1993,normalized_name_identical_multisite_set+normalized_name_standardized_primary_address,1,1,774|775|776|777|778|779|781|782|783|9001931|9001991|9001999|9002000|9002001|9002002|9002003|9002004|9002005|9002067,8100 FARMLEA CIRCLE|8108 FARMLEA CIR|8110 FARMLEA CIR|8112 FARMLEA CIR|8112 FARMLEA CIRCLE|8114 FARMLEA CIR|8115 FARMLEA CIR|8117 FARMLEA CIR|8119 FARMLEA CIR|8121 FARMLEA CIR|8123 FARMLEA CIR|8125 FARMLEA CIR,accept,same_named_scattered_site_development,"Internal HUD read: NCA19920085 (PIS 1992, state ID 776, units 1); NCA19929012 (PIS 1992, state ID 9002005, units 1); NCA19929013 (PIS 1992, state ID 9002001, units 1); NCA19930095 (PIS 1993, state ID 774, units 1); NCA19930100 (PIS 1993, state ID 775, units 1); NCA19930105 (PIS 1993, state ID 777, units 1); NCA19930110 (PIS 1993, state ID 778, units 1); NCA19930115 (PIS 1993, state ID 779, units 1); NCA19930120 (PIS 1993, state ID 9002003, units 1); NCA19930125 (PIS 1993, state ID 781, units 1); NCA19930130 (PIS 1993, state ID 782, units 1); NCA19930135 (PIS 1993, state ID 783, units 1); NCA19939012 (PIS 1993, state ID 9002067, units 1); NCA19939014 (PIS 1993, state ID 9002002, units 1); NCA19939015 (PIS 1993, state ID 9002000, units 1); NCA19939016 (PIS 1993, state ID 9001999, units 1); NCA19939017 (PIS 1993, state ID 9001991, units 1); NCA19939018 (PIS 1993, state ID 9001931, units 1); NCA19939019 (PIS 1993, state ID 9002004, units 1). Link evidence: normalized_name_identical_multisite_set+normalized_name_standardized_primary_address. Distinct published primary-address strings: 12.",2026-08-09,accept,external_property_identity_consistent,Google,https://www.google.com/search?q=%22BERKSHIRE%20DOWNS%22%20%22RALEIGH%22%20%228100%20FARMLEA%20CIRCLE%22%20affordable%20housing,"Berkshire Downs - Affordable Housing in Raleigh, NC | Section 8 ... section8search.org https://section8search.org › North Carolina › RALEIGH",housing_directory_or_other_web_source,https://section8search.org/north-carolina/raleigh/berkshire-downs/ozm3bklwhm8lpjjby21o56lr,Berkshire Downs - UsLowCostHousing - Find Section 8 Housing ... UsLowCostHousing https://s8.uslowcosthousing.com › ... › Raleigh,housing_directory_or_other_web_source,https://s8.uslowcosthousing.com/state/nc/raleigh/berkshire-downs-33450/,Outside read via Google: a property-specific source identifies the matched name and location. This outside evidence is used for linkage only; it does not adjudicate the conflicting or repeated unit totals.,2026-08-09,accept,same_named_scattered_site_development,Accept the provisional linkage as one physical development. Preserve the component HUD records as project episodes. Unit aggregation is a separate unresolved decision.,2026-08-09
