development_id,hud_id,state_id,development_state,development_name,development_city,proj_add,proj_cty,proj_st,proj_zip,first_pis_year,last_pis_year,n_project_episodes,frozen_total_units,frozen_low_income_units,classification,replacement_total_units,replacement_low_income_units,replacement_count_type,source_1_url,source_1_title,source_1_type,source_1_statement,source_2_url,source_2_title,source_2_type,source_2_statement,reviewer_1,reviewer_2,reviewer_1_reviewed_on,reviewer_2_reviewed_on,source_scope,final_action
DEV_AKA20019031,AKA20019031,AK-99-04,AK,NORTHWARD BUILDING,FAIRBANKS,455 THIRD AVENUE,FAIRBANKS,AK,99701,2001,2001,1,177,16,unresolved_after_two_searches,,,,https://www.google.com/search?q=NORTHWARD%20BUILDING%20455%20THIRD%20AVENUE%20FAIRBANKS%20AK,Exact property-name and address search,search trail,Reproducible exact property-name and address search trail. No project-scoped low-income-unit count was found that can replace or affirm the frozen value.,https://www.google.com/search?q=NORTHWARD%20BUILDING%20AK%20LIHTC%20units,Exact property-name LIHTC-unit search,search trail,Separate reproducible exact-name LIHTC-unit search trail. No second project-scoped count with a defensible scope match was found.,Wegener,Goodall,2026-08-12,2026-08-12,identity searched; no source establishes a compatible count scope,unresolved_exclude_low_income_share
DEV_AZA20040060,AZA20040060,BD-0019,AZ,RANCHO DEL SOL APTS,PEORIA,11039 N 87TH AVE,PEORIA,AZ,85345,2004,2004,1,152,7,official_replacement_exact,152,152,100 percent rent-restricted LIHTC units,https://housing.az.gov/sites/default/files/documents/files/2019-Information-Bulletins.pdf,Arizona Department of Housing 2019 information bulletin,state agency bulletin,Rancho del Sol is a 152-unit property with 100% rent-restricted LIHTC units.,https://www.rentable.co/peoria-az/rancho-del-sol,Rentable Rancho del Sol property page,secondary property page,Reports 152 total units at the same Peoria address.,Wegener,Goodall,2026-08-12,2026-08-12,same physical development; total units agree,replace_low_income_units
DEV_CAA19880145,CAA19880145,CA-88-117,CA,COLEMAN COURT,TORRANCE,1421 CRAVENS AVE,TORRANCE,CA,90501,1988,1988,1,113,22,unresolved_after_two_searches,,,,https://www.google.com/search?q=COLEMAN%20COURT%201421%20CRAVENS%20AVE%20TORRANCE%20CA,Exact property-name and address search,search trail,Reproducible exact property-name and address search trail. No project-scoped low-income-unit count was found that can replace or affirm the frozen value.,https://www.google.com/search?q=COLEMAN%20COURT%20CA%20LIHTC%20units,Exact property-name LIHTC-unit search,search trail,Separate reproducible exact-name LIHTC-unit search trail. No second project-scoped count with a defensible scope match was found.,Wegener,Goodall,2026-08-12,2026-08-12,identity searched; no source establishes a compatible count scope,unresolved_exclude_low_income_share
DEV_CAA19900040,CAA19900040,CA-90-170,CA,SHADOWRIDGE APTS,SIMI VALLEY,1987 RIDGEGATE LN,SIMI VALLEY,CA,93065,1990,1990,1,332,66,unresolved_after_two_searches,,,,https://www.google.com/search?q=SHADOWRIDGE%20APTS%201987%20RIDGEGATE%20LN%20SIMI%20VALLEY%20CA,Exact property-name and address search,search trail,Reproducible exact property-name and address search trail. No project-scoped low-income-unit count was found that can replace or affirm the frozen value.,https://www.google.com/search?q=SHADOWRIDGE%20APTS%20CA%20LIHTC%20units,Exact property-name LIHTC-unit search,search trail,Separate reproducible exact-name LIHTC-unit search trail. No second project-scoped count with a defensible scope match was found.,Wegener,Goodall,2026-08-12,2026-08-12,identity searched; no source establishes a compatible count scope,unresolved_exclude_low_income_share
DEV_CAA20100050,CAA20100050,CA-01-911,CA,BROADWAY PLAZA APTS,LOS ANGELES,901 S BROADWAY,LOS ANGELES,CA,90015,2010,2010,1,82,16,confirmed_current_counts,82,16,20 percent of all residential units,https://cityclerk.lacity.org/onlinedocs/2005/05-0685-s6_rpt_lahd_02-01-07.pdf,Los Angeles Housing Department TEFRA report,municipal report,Broadway Plaza is an 82-unit acquisition and rehabilitation; 20% of units accommodate low-income individuals.,https://www.apartmentsforrentnet.com/property/LIHTC_CAA20100050/BROADWAY-PLAZA-APTS,Broadway Plaza Apartments listing,secondary property page,Identifies the same 901 South Broadway property using HUD ID CAA20100050.,Wegener,Goodall,2026-08-12,2026-08-12,same development; source reports a 20 percent set-aside,retain_frozen_counts
DEV_CTA0000X011,CTA0000X011,CT-00-011,CT,CAPITOL LOFTS (FKA 390 CAPITOL),HARTFORD,390 CAPITOL AVENUE,HARTFORD,CT,06106,,,1,112,14,unresolved_after_two_searches,,,,https://www.google.com/search?q=Capitol+Lofts+390+Capitol+Hartford+affordable+units,Exact property-name and address search,search trail,"Exact property-name and address search was reviewed; the city source found in the prior unit-scope review reports 112 total and 14 affordable units, but no independent second source establishes an equivalent LIHTC low-income-unit count.",https://www.google.com/search?q=Capitol+Lofts+Hartford+LIHTC+units,Exact property-name LIHTC-unit search,search trail,Separate LIHTC-unit search was reviewed; it did not yield a second project-scoped count that can affirm the low-income-unit field.,Wegener,Goodall,2026-08-12,2026-08-12,identity searched; no source establishes a compatible count scope,unresolved_exclude_low_income_share
DEV_GAA20080005,GAA20080005,GA-07-506,GA,ASHLEY WOODS APARTMENTS,STOCKBRIDGE,1050 ROCK QUARRY RD,STOCKBRIDGE,GA,30281-7640,2008,2008,1,128,10,unresolved_after_two_searches,,,,https://www.google.com/search?q=ASHLEY%20WOODS%20APARTMENTS%201050%20ROCK%20QUARRY%20RD%20STOCKBRIDGE%20GA,Exact property-name and address search,search trail,Reproducible exact property-name and address search trail. No project-scoped low-income-unit count was found that can replace or affirm the frozen value.,https://www.google.com/search?q=ASHLEY%20WOODS%20APARTMENTS%20GA%20LIHTC%20units,Exact property-name LIHTC-unit search,search trail,Separate reproducible exact-name LIHTC-unit search trail. No second project-scoped count with a defensible scope match was found.,Wegener,Goodall,2026-08-12,2026-08-12,identity searched; no source establishes a compatible count scope,unresolved_exclude_low_income_share
DEV_GAA20080040,GAA20080040,GA-07-302,GA,COLONY WEST APARTMENTS,MACON,5284 BLOOMFIELD RD,MACON,GA,31206-4400,2008,2008,1,76,5,confirmed_total_only_no_exact_replacement,76,,total units only,https://www.maconhousing.com/mha/nonprofitaffiliates.aspx.html,Macon Housing Authority non-profit affiliates page,local housing authority page,Colony West is a 76-unit development rehabilitated in 2007 and 2008; the page does not report LIHTC-restricted units.,https://dca.georgia.gov/document/document/2024-526jeffersonms/download,Georgia DCA market study,state agency document,Reports 76 units and shows rent restrictions at 60% AMI or subsidy programs; it does not give a project LIHTC-unit total.,Wegener,Goodall,2026-08-12,2026-08-12,identity searched; no source establishes a compatible count scope,unresolved_exclude_low_income_share
DEV_ILB19950804,ILB19950804,16-14-409,IL,WESTSIDE VILLAGE PHASE I,CHICAGO,3607 W POLK ST,CHICAGO,IL,60624,1995,1995,1,50,3,unresolved_after_two_searches,,,,https://www.google.com/search?q=WESTSIDE%20VILLAGE%20PHASE%20I%203607%20W%20POLK%20ST%20CHICAGO%20IL,Exact property-name and address search,search trail,Reproducible exact property-name and address search trail. No project-scoped low-income-unit count was found that can replace or affirm the frozen value.,https://www.google.com/search?q=WESTSIDE%20VILLAGE%20PHASE%20I%20IL%20LIHTC%20units,Exact property-name LIHTC-unit search,search trail,Separate reproducible exact-name LIHTC-unit search trail. No second project-scoped count with a defensible scope match was found.,Wegener,Goodall,2026-08-12,2026-08-12,identity searched; no source establishes a compatible count scope,unresolved_exclude_low_income_share
DEV_ILB19990801,ILB19990801,16-14-316,IL,WESTSIDE VILLAGE PHASE IV,CHICAGO,3607 W POLK ST,CHICAGO,IL,60624,1999,1999,1,108,20,unresolved_after_two_searches,,,,https://www.google.com/search?q=WESTSIDE%20VILLAGE%20PHASE%20IV%203607%20W%20POLK%20ST%20CHICAGO%20IL,Exact property-name and address search,search trail,Reproducible exact property-name and address search trail. No project-scoped low-income-unit count was found that can replace or affirm the frozen value.,https://www.google.com/search?q=WESTSIDE%20VILLAGE%20PHASE%20IV%20IL%20LIHTC%20units,Exact property-name LIHTC-unit search,search trail,Separate reproducible exact-name LIHTC-unit search trail. No second project-scoped count with a defensible scope match was found.,Wegener,Goodall,2026-08-12,2026-08-12,identity searched; no source establishes a compatible count scope,unresolved_exclude_low_income_share
