development_id,source_file,source_url,retrieved_on,source_sha256,source_type,source_claim
DEV_TXA00000370,maeghan_pointe_tejas.html,https://www.tejashousing.com/maeghan-pointe/,2026-08-12,07d81bf4f91092c529c5434dcc5236253606980cc6016c417d24a6f05106e859,owner-manager,Owner-manager identifies Maeghan Pointe at 805 Maeghan Drive in Elsa and describes 80 units.
DEV_TXA00000590,tierra_pointe_merced.html,https://mercedhousingtexas.org/community/tierra-pointe-apartments/,2026-08-12,2c978bd87de22c2d204abf678ce76e0225bf95bb888b9705fe49d8dfd206393c,owner-manager,Owner-manager identifies 80-unit Tierra Pointe at 1226 Texas Highway 123 in Karnes City rather than the TDHCA inventory street label.
DEV_TXA00000948,sunrise_terrace_manager.html,https://www.sunriseterraceapts.com/,2026-08-12,5625221a653db7ee491e98fab296a00744e4827c26d749e12da564a2088eacdd,property-manager,Property-manager identifies Sunrise Terrace at 2400 North Solis Road in La Feria.
DEV_TXA20010095,hillsboro_tdhca_board_2018.pdf,https://www.tdhca.texas.gov/sites/default/files/board/books/180906-book-180830.pdf,2026-08-12,41ea884fc4c887f7aba4b6e128b5c00b37695ca21549e0cfad28d6a49ea7a331,state-board,TDHCA board materials identify Hillsboro Gardens at 807 Abbott Avenue and separately call Phase II a distinct community.
DEV_TXA20010100,hillsboro_tdhca_2000_log.pdf,https://www.tdhca.texas.gov/sites/default/files/multifamily/docs/htc-9pct/00lihtclog.pdf,2026-08-12,1518bcc5f2f484cd1b5260f5073d33a2a58c796aaf125e2f74ff60c255a1ef37,state-program,TDHCA application log locates Hillsboro Gardens Phase II in the 800 block of South Abbott near Maxwell rather than at a confirmed 807 Abbott address.
DEV_TXA20110839,park_ridge_txhf.html,https://txhf.org/communities/park-ridge/,2026-08-12,c9a3e7f264e513a0aa79d6d0be717dd8ebee3ce5d2bff05c2c7a210d4e1b393d,owner-manager,Owner-manager identifies Park Ridge Apartments at 100 Legend Hills Boulevard in Llano.
DEV_TXA20110852,floral_gardens_manager.html,https://floralgardenapts.com/neighborhood/,2026-08-12,23d56ac06b157f44d4de1c8fa0136978ac93d0e6e4f83c01d79a8b2145e89672,property-manager,Property-manager identifies Floral Gardens Senior Apartments at 7950 South Sam Houston Parkway West.
DEV_TXA20130855,justice_park_houston_2012.pdf,https://www.houstontx.gov/citysec/agenda/2012/20120320.pdf,2026-08-12,eb5a0720e10acfb0318f4fff125074efcd31b264ac1c0deb959b5370bbba0c0a,municipal,City action locates Justice Park Senior Villas on Justice Park Drive north of West 43rd Street.
DEV_TXA20130855,justice_park_houston_2024.pdf,https://www.houstontx.gov/citysec/agenda/2024/20241015.pdf,2026-08-12,f9722701c08d627cfb960a80b5544eca841456bc6ae843c02945521f7e720873,municipal,City records identify Campanile at Justice Park Senior Apartments at 39 Justice Park Drive.
DEV_TXA20220911,san_antonio_2020_council.html,https://sanantonio.legistar.com/MeetingDetail.aspx?GUID=AC2408E9-6AA6-4972-AC3B-29C23EE0C559&ID=745656&Options=&Search=,2026-08-12,28a17be16ea397d1fdff3c1fba0d4fb0bd11c7316e522e9fb6969682004012a9,municipal,City Council agenda identifies Hamilton Wolfe Lofts at Hamilton Wolfe and Princeton Place.
DEV_TXA20230829,san_antonio_2020_council.html,https://sanantonio.legistar.com/MeetingDetail.aspx?GUID=AC2408E9-6AA6-4972-AC3B-29C23EE0C559&ID=745656&Options=&Search=,2026-08-12,28a17be16ea397d1fdff3c1fba0d4fb0bd11c7316e522e9fb6969682004012a9,municipal,City Council agenda identifies Vista at Interpark at 12615 San Pedro Avenue.
DEV_TXA20110849,heights_corral_tamuk.pdf,https://www.tamuk.edu/academicaffairssupport/oisss/_files/ApartmentListing.pdf,2026-08-12,0d8dd91f8d61951e69ba4b9036c2d9ee20946aabf1b728b8127227ecde41c93d,university,Texas A&M--Kingsville apartment list identifies Heights at Corral Apartments at 1000 W. Corral Ave. in Kingsville.
DEV_TXA20110858,constitution_court_municipal.html,https://online.encodeplus.com/regs/copperascove-tx-wdp/doc-viewer.aspx?secid=44,2026-08-12,481502720709450a31872fb49a26989ae3c7b9277a2c6e74d5bbd99745731493,municipal,Municipal water plan lists Constitution Court Apartments at 712 Constitution Court with 180 units.
