development_id,review_disposition,second_read_provenance,second_read_source_file,second_read_source_url,second_read_source_sha256,executed_search_url,second_read_evidence_statement,second_read_evidence_locator,executed_search_notes,reviewed_on,review_reason
DEV_PAA00000059,unresolved_no_qualifying_physical_site_corroboration,executed_search_no_qualifying_physical_site_corroboration,,,,https://www.google.com/search?q=%22Downtown+Revival+HOPE+VI%22+Coatesville+%22200-260+E+Lincoln+Hwy%22,No qualifying independent result corroborated the PHFA candidate address or resolved the development's physical scope.,Google results for quoted development name city and PHFA candidate address,Returned results did not provide an owner municipal or archival physical-site source; directory-style results were excluded.,2026-08-12,The PHFA candidate remains unresolved and is not applied or accepted.
DEV_PAA00000150,unresolved_no_qualifying_physical_site_corroboration,frozen_source,pha_family_developments.html,https://www.pha.phila.gov/housing/public-housing/about-developments/family-developments/,f4bbba4d907272ab2580520fb2d780a8f2598f9be67d68cfae98e4bebe80c6a4,,The table headers are Name Office and Phone; Marshall Shepard Village is paired with 755 N. Markoe St.,HTML line 967 table row Marshall Shepard Village,,2026-08-12,The candidate is explicitly an office address and does not establish a physical site.
DEV_PAA00000165,conflicting_or_incomplete_physical_site_scope,frozen_source,negley_neighbors_hunt.html,https://huntcapitalpartners.com/news/hunt-capital-partners-transfers-ownership-of-negley-neighbors-apartments-in-pittsburghs-east-liberty-neighborhood?page=7,641a550b803c9a691e2bf5538f97837a35ae213e4d01d0a987cbae0fcaaef227,,Negley Neighbors is described as a 41-unit scattered-site development comprising 11 buildings.,HTML lines 163 and 166,,2026-08-12,An 11-building scattered-site development cannot be represented as complete physical scope by the one PHFA address.
DEV_PAA00000175,conflicting_or_incomplete_physical_site_scope,frozen_source,phfa_newport_2006.pdf,https://www.phfa.org/forms/press_releases/2006/press_release_10122006.pdf,91b3e9b77e77077e69c19596f349d45a4b9a076e43ea9526b293dbe3154820ae,,Newport Hotel Senior Housing is described as 13 units in two renovated buildings at 120 Market Street.,PDF page 1 Newport Hotel Senior Housing section,,2026-08-12,The historical two-building location differs from the current PHFA candidate and leaves constituent-building scope unresolved.
DEV_PAA00000207,conflicting_or_incomplete_physical_site_scope,frozen_source,philadelphia_inventory_2019.pdf,https://www.hivphilly.org/media/documents/PHFA_Philadelphia_Rental_Housing_Inventory_9-11-19.pdf,66d3c0ff77229bd3867010f98caeadd16531b7d1dc3a6ab26f51ee0acab24d78,,The inventory lists Port Richmond Model Homes as 32 units at Scattered Sites.,PDF pages 101-102 Port Richmond Model Homes entry,,2026-08-12,The historical inventory's scattered-site scope conflicts with treating one PHFA address as the complete development.
DEV_PAA00000262,conflicting_or_incomplete_physical_site_scope,frozen_source,towns_governors_contact.html,https://www.townsatgovernorssquare.com/Contact.aspx,3902da400d137b2ac994d02fd1358ba5e2083485d04b9f14063fd28b7e4e6b2e,,The contact page pairs the property with 2018 N 5th St but separately announces the leasing office moved to 2020 Fulton Street.,HTML lines 1780 and 1996,,2026-08-12,The page corroborates a contact address but does not establish complete physical-site scope and distinguishes a leasing-office location.
DEV_PAA19890665,unresolved_no_qualifying_physical_site_corroboration,executed_search_no_qualifying_physical_site_corroboration,,,,https://www.google.com/search?q=%22Mountain+House%22+Arendtsville+PA+%22111+Main+St%22,No qualifying independent result corroborated 111 Main Street as the development's physical site.,Google results for quoted development name city and PHFA candidate address,Returned results were directory or aggregator pages rather than owner municipal or archival physical-site evidence.,2026-08-12,The PHFA candidate remains unresolved and is not applied or accepted.
DEV_PAA19900315,unresolved_no_qualifying_physical_site_corroboration,executed_search_no_qualifying_physical_site_corroboration,,,,https://www.google.com/search?q=%22Hill+Com+I%22+Pittsburgh+%222012+Bedford+Ave%22,No qualifying independent result tied Hill Com I to 2012 Bedford Avenue as a physical site.,Google results for quoted development name city and PHFA candidate address,The retained Hill Com II article was not treated as evidence for Hill Com I and no qualifying substitute was located.,2026-08-12,The PHFA candidate remains unresolved and is not applied or accepted.
DEV_PAA19900320,conflicting_or_incomplete_physical_site_scope,frozen_source,hill_com_fire_publicsource.html,https://www.publicsource.org/some-families-displaced-by-five-alarm-fire-are-in-limbo-where-will-they-go/,6d030d625e9687b45e04d4fcd49efc4ecf7c9306b10c96bca4b62f380279f878,,The article associates Hill Com II with multiple apartments on De Ruad Street and Fifth Avenue including 2041 Fifth Avenue.,HTML lines 584 589 and 591,,2026-08-12,Multiple documented apartment addresses leave physical-site scope incomplete even though one address equals the PHFA candidate.
DEV_PAA19930135,unresolved_no_qualifying_physical_site_corroboration,frozen_source,community_ventures_projects.html,https://community-ventures.org/projects/,e356280469c332d6a24a5f21048b08aa2c79188f91b06a79a4c386436eefc418,,The project table lists Francisville III with Francisville CDC 21 units and 1993 but provides no address.,HTML lines 219-223 Francisville III row,,2026-08-12,The source corroborates identity and unit count only; it does not corroborate the candidate address or physical scope.
