mixed_site_question_id,candidate_signal_class,development_ids,development_names,development_anchor_hud_ids,first_pis_year_examples,episode_unit_max_examples,shared_site_key_examples,review_origin,first_read_reviewed_on,outside_read_reviewed_on,final_reviewed_on,n_members,first_read_n_clusters,n_clusters,n_physical_development_clusters,n_nonphysical_umbrella_clusters,first_read_identity_decision,final_identity_decision,first_read_reason_code,final_reason_code,outside_discovery_method,outside_discovery_url,outside_source_member_count,outside_source_title,outside_source_type,outside_source_url,outside_address_agreement,outside_identity_assessment,episode_to_property_bridge_status,shared_geocoding_query_decision,source_rows_changed
MSIR_0001,moderate_identity_evidence,DEV_AKA19960020 | DEV_AKA19969001,HILLPOINT PARK | HILLPOINT PARK APPARTMENTS,AKA19960020 | AKA19969001,1996,24,AK|315 BARROW ST|ANCHORAGE,new_two_read_review,2026-08-11,2026-08-11,2026-08-11,2,1,1,1,0,merge_all,merge_all,duplicate_source_records_same_physical_development,duplicate_source_records_same_physical_development,public_directory_sitemap,https://section8search.org/sitemap.xml,2,Section8Search direct pages for listed members,public_housing_directory,https://section8search.org/alaska/anchorage/hillpoint-park/vj1fxhrlxbmikjqbntt675jr | https://section8search.org/alaska/ancorage/hillpoint-park-appartments/k33wx5xyp5ybeqwre2tphio0,corroborates_published_names_units_and_addresses,corroborates_internal_identity_read,not_required,not_approved,FALSE
MSIR_0002,moderate_identity_evidence,DEV_AKA19940005 | DEV_AKA19949001,LOUSSAC SOGN SRO | LOUSSAC-SOGN,AKA19940005 | AKA19949001,1994,52,AK|429 D ST|ANCHORAGE,new_two_read_review,2026-08-11,2026-08-11,2026-08-11,2,1,1,1,0,merge_all,merge_all,duplicate_source_records_same_physical_development,duplicate_source_records_same_physical_development,public_directory_sitemap,https://section8search.org/sitemap.xml,2,Section8Search direct pages for listed members,public_housing_directory,https://section8search.org/alaska/anchorage/loussac-sogn-sro/sabl03cn77shfssek8uqgvdt | https://section8search.org/alaska/anchorage/loussacsogn/d7gutu2up13wrxdkwml6pupo,corroborates_published_names_units_and_addresses,corroborates_internal_identity_read,not_required,not_approved,FALSE
MSIR_0003,moderate_identity_evidence,DEV_AKA20201002 | DEV_AKA20201003 | DEV_AKA20203005 | DEV_AKA20203006,SPRUCE CAPE HOMES | SPRUCE CAPE HOMES II | SPRUCE CAPE I | SPRUCE CAPE II,AKA20201002 | AKA20201003 | AKA20203005 | AKA20203006,2020,20 | 30,AK|3386 SHARATIN RD|KODIAK | AK|529 CARROLL WAY|KODIAK,new_two_read_review,2026-08-11,2026-08-11,2026-08-11,4,2,2,2,0,partition,partition,duplicate_records_within_distinct_named_phases,duplicate_records_within_distinct_named_phases,focused_web_search,https://www.kodiakislandhousing.com/wp-content/uploads/2021/07/Kodiak-Island-Borough-Housing-Needs-Assessment-Final.pdf,4,Kodiak Island Borough Housing Needs Assessment,municipal_housing_assessment,https://www.kodiakislandhousing.com/wp-content/uploads/2021/07/Kodiak-Island-Borough-Housing-Needs-Assessment-Final.pdf,confirms_distinct_spruce_cape_i_and_ii_properties,supports_final_partition,not_required,not_approved,FALSE
MSIR_0004,moderate_identity_evidence,DEV_ARA19990028 | DEV_ARA19999722,EAST OAKWOOD APARTMENTS | EAST OAKWOOD PLACE,ARA19990028 | ARA19999722,1999,50,AR|1651 HAIRSTON ST|CONWAY,new_two_read_review,2026-08-11,2026-08-11,2026-08-11,2,1,1,1,0,merge_all,merge_all,duplicate_source_records_same_physical_development,duplicate_source_records_same_physical_development,public_directory_sitemap,https://section8search.org/sitemap.xml,2,Section8Search direct pages for listed members,public_housing_directory,https://section8search.org/arkansas/conway/east-oakwood-apartments/cxo2apja6m6wxta9i82j1gf7 | https://section8search.org/arkansas/conway/east-oakwood-place/hyoqy2lo4k8557upygqzf5t5,corroborates_published_names_units_and_addresses,corroborates_internal_identity_read,not_required,not_approved,FALSE
MSIR_0005,moderate_identity_evidence,DEV_ARA19980690 | DEV_ARA19989006,HELENA SCATTERED SITES I | HELENA SCATTERED SITES I/HELENA HOUSING PARTN,ARA19980690 | ARA19989006,1998,20,AR|1322 HOLLY|HELENA,new_two_read_review,2026-08-11,2026-08-11,2026-08-11,2,1,1,1,0,merge_all,merge_all,duplicate_source_records_same_scattered_site_development,duplicate_source_records_same_scattered_site_development,public_directory_sitemap,https://section8search.org/sitemap.xml,2,Section8Search direct pages for listed members,public_housing_directory,https://section8search.org/arkansas/helena/helena-scattered-sites-i/z0b3cwxpfvm6s8xpmivpzmt1 | https://section8search.org/arkansas/helena/helena-scattered-sites-ihelena-housing-partn/n3uknxtw1vpj2jj0l3mkwmgj,corroborates_published_names_units_and_addresses,corroborates_internal_identity_read,not_required,not_approved,FALSE
MSIR_0006,moderate_identity_evidence,DEV_ARA20120928 | DEV_ARA20125015,PEAKS AT COUNTRY CLUB III F | PEAKS AT COUNTRY CLUB III FKA PEAKS NLR II,ARA20120928 | ARA20125015,2012,48,AR|10720 RICHSMITH LN|NORTH LITTLE ROCK,new_two_read_review,2026-08-11,2026-08-11,2026-08-11,2,1,1,1,0,merge_all,merge_all,duplicate_source_records_same_physical_development,duplicate_source_records_same_physical_development,public_directory_sitemap,https://section8search.org/sitemap.xml,2,Section8Search direct pages for listed members,public_housing_directory,https://section8search.org/arkansas/north-little-rock/peaks-at-country-club-iii-f/pbe4ih5m30gl3vbebl20fynw | https://section8search.org/arkansas/north-little-rock/peaks-at-country-club-iii-fka-peaks-nlr-ii/jkun44qvd5wrbb2o640twnf6,corroborates_published_names_units_and_addresses,corroborates_internal_identity_read,not_required,not_approved,FALSE
MSIR_0007,moderate_identity_evidence,DEV_DEA20090040 | DEV_DEA20096005,HOLLYBROOK FARMS II | HOLLYBROOK II APARTMENTS,DEA20090040 | DEA20096005,2009,24,DE|500 COUNTRY RD|LAUREL,new_two_read_review,2026-08-11,2026-08-11,2026-08-11,2,1,1,1,0,merge_all,merge_all,duplicate_source_records_same_physical_development,duplicate_source_records_same_physical_development,public_directory_sitemap,https://section8search.org/sitemap.xml,2,Section8Search direct pages for listed members,public_housing_directory,https://section8search.org/delaware/laurel/hollybrook-farms-ii/ury99hte6tqkcm7w8ar2hi1u | https://section8search.org/delaware/laurel/hollybrook-ii-apartments/cijcjkn86lkp8pcuvyztsota,corroborates_published_names_units_and_addresses,corroborates_internal_identity_read,not_required,not_approved,FALSE
MSIR_0008,moderate_identity_evidence,DEV_FLA19990804 | DEV_FLA20000190,WENTWORTH APTS II | WENTWORTH I,FLA19990804 | FLA20000190,1999 | 2000,264,FL|10200 DYLAN ST|ORLANDO,new_two_read_review,2026-08-11,2026-08-11,2026-08-11,2,2,2,2,0,retain_each,retain_each,distinct_florida_housing_properties,distinct_florida_housing_properties,focused_web_search,https://www.floridahousing.org/docs/default-source/developers-and-property-managers/compliance/forms/informational/key-number-list-%282026-0126%29.pdf?Status=Master&sfvrsn=c7f0e76d_1 | https://www.occompt.com/DocumentCenter/View/25243/2012-12-18-Community-Environmental-and-Development-Services-Consent-Item-03,2,Florida Housing key list and Orange County Wentworth II record,state_and_county_housing_records,https://www.floridahousing.org/docs/default-source/developers-and-property-managers/compliance/forms/informational/key-number-list-%282026-0126%29.pdf?Status=Master&sfvrsn=c7f0e76d_1 | https://www.occompt.com/DocumentCenter/View/25243/2012-12-18-Community-Environmental-and-Development-Services-Consent-Item-03,confirms_separate_wentworth_i_and_ii_properties,supports_final_partition,not_required,not_approved,FALSE
MSIR_0009,moderate_identity_evidence,DEV_GAA20134002 | DEV_GAA20143002,APPLE LANE | APPLE VILLAGE APARTMENTS,GAA20134002 | GAA20143002,2013 | 2014,24,GA|116 N 5TH ST|GLENWOOD,new_two_read_review,2026-08-11,2026-08-11,2026-08-11,2,2,2,2,0,retain_each,retain_each,shared_address_crosslist_distinct_named_properties,shared_address_crosslist_distinct_named_properties,focused_web_search,https://dca.georgia.gov/document/document/2024-538hddnforestms/download,2,Georgia DCA market study,state_housing_agency_market_study,https://dca.georgia.gov/document/document/2024-538hddnforestms/download,lists_apple_village_and_apple_lane_as_distinct_properties,supports_final_partition,not_required,not_approved,FALSE
MSIR_0010,moderate_identity_evidence,DEV_GAA19979001 | DEV_GAA19980120,ASHTON PINES | SUGAR MILL APARTMENTS,GAA19979001 | GAA19980120,1997 | 1998,70,GA|11115 COLERAIN RD|ST MARYS,new_two_read_review,2026-08-11,2026-08-11,2026-08-11,2,1,1,1,0,merge_all,merge_all,official_alias_same_physical_development,official_alias_same_physical_development,focused_web_search,https://dca.georgia.gov/document/document/2025-544arborviewms/download,2,Georgia DCA market study,state_housing_agency_market_study,https://dca.georgia.gov/document/document/2025-544arborviewms/download,identifies_ashton_pines_as_reserve_at_sugar_mill_alias,supports_final_partition,not_required,not_approved,FALSE
