review_question_id,identical_address_set_id,internal_identity_decision,internal_reason_code,internal_notes,internal_reviewed_on,external_identity_decision,external_search_engine,external_search_url,external_source_title,external_source_type,external_source_url,external_notes,external_reviewed_on,final_identity_decision,final_reason_code,address_set_assessment,final_notes,final_reviewed_on,shared_geocoding_query_decision,source_rows_changed
IASR_001,IAS0001,merge_all,same_name_timing_address_set,"Name differs only by Roman versus Arabic numeral; year, units, and two-address set match.",2026-08-10,merge_all,Google,https://www.google.com/search?q=Aurora%20Vista%20I%20Kenai%20Alaska%20affordable%20housing,"Aurora Vista | Affordable Housing in Kenai, AK",public_property_directory,https://section8search.org/alaska/kenai,The directory places both Aurora Vista name variants at the same Kenai property addresses.,2026-08-10,merge_all,duplicate_reporting_same_physical_development,consistent_with_identity_decision,Propose one physical development while preserving every source row as a project episode; do not aggregate conflicting unit counts or treat the identity decision as address validation.,2026-08-10,not_approved,FALSE
IASR_002,IAS0011,merge_all,same_name_timing_address_set,"Tradewind(s) name variants have the same year, units, and two Lear Road addresses.",2026-08-10,merge_all,Google,https://www.google.com/search?q=Tradewinds%20Apartments%20Unalaska%20Alaska%20LIHTC,Alaska LIHTC Properties Through 2023,housing_sector_report,https://www.novoco.com/public-media/documents/alaska-lihtc-properties-through-2023-072025.pdf,The Alaska property list reports one Tradewinds project at Lear Road with the matching year and units.,2026-08-10,merge_all,duplicate_reporting_same_physical_development,consistent_with_identity_decision,Propose one physical development while preserving every source row as a project episode; do not aggregate conflicting unit counts or treat the identity decision as address validation.,2026-08-10,not_approved,FALSE
IASR_003,IAS0015,retain_each,distinct_named_projects_shared_bad_set,Names differ substantively although timing and unit counts match; listed locations are office and parcel descriptions.,2026-08-10,retain_each,Google,https://www.google.com/search?q=Asa%20Carsarmiut%20Captain%20Beans%20Mountain%20Village%20Alaska%20housing,"Housing Assistance in Mountain Village, Alaska",public_property_directory,https://www.affordablehousing411.com/housing/mountain-village-ak/,The directory lists Asa Carsarmiut and Captain Beans separately and reports different bedroom mixes despite the shared administrative address.,2026-08-10,retain_each,distinct_projects_with_shared_administrative_addresses,administrative_or_parcel_descriptions,Preserve each source development as a distinct physical development; do not treat the shared address set as sufficient identity evidence.,2026-08-10,not_approved,FALSE
IASR_004,IAS0036,merge_all,same_property_later_financing,Cedar Terrace repeats after a 25-year gap with the same address set and unit total.,2026-08-10,merge_all,Google,https://www.google.com/search?q=Cedar%20Terrace%20Apartments%20Selma%20Alabama%20LIHTC,Cedar Terrace Apartments,public_property_directory,https://affordablehousingonline.com/housing-search/Alabama/Selma/Cedar-Terrace-Apartments/10023018,The property record identifies one Cedar Terrace development at the reviewed location.,2026-08-10,merge_all,later_financing_episode_same_physical_development,consistent_with_identity_decision,Propose one physical development while preserving every source row as a project episode; do not aggregate conflicting unit counts or treat the identity decision as address validation.,2026-08-10,not_approved,FALSE
IASR_005,IAS0039,merge_all,same_property_later_financing,Pine Ridge repeats after 28 years with the same address set and unit total.,2026-08-10,merge_all,Google,https://www.google.com/search?q=Pine%20Ridge%20Apartments%20Alabama%20LIHTC%202023%20rehab,AHFA Set-Aside Units for Active and Approved Projects,allocating_agency,https://www.ahfa.com/Content/Uploads/ahfa.com/files/MF%20Allocation/2024%20docs/AHFA%20Set%20Aside%20Units%20for%20Active%20and%20Approved%20Projects%2004-12-24.pdf,The allocating-agency list identifies the current Pine Ridge preservation project corresponding to the older property.,2026-08-10,merge_all,later_financing_episode_same_physical_development,consistent_with_identity_decision,Propose one physical development while preserving every source row as a project episode; do not aggregate conflicting unit counts or treat the identity decision as address validation.,2026-08-10,not_approved,FALSE
IASR_006,IAS0055,merge_all,same_named_scattered_site,"Three Helena Scattered Sites II name variants have identical timing, units, and 20-address set.",2026-08-10,merge_all,Google,https://www.google.com/search?q=Helena%20Scattered%20Sites%20II%20Arkansas%20LIHTC,Phillips County Affordable Housing List,allocating_agency,https://adfa.arkansas.gov/wp-content/uploads/2024/12/Phillips-County-Helena-West-Helena.pdf,The Arkansas agency list treats Helena Scattered Sites II as one scattered-site property.,2026-08-10,merge_all,duplicate_reporting_same_multisite_development,consistent_with_identity_decision,Propose one physical development while preserving every source row as a project episode; do not aggregate conflicting unit counts or treat the identity decision as address validation.,2026-08-10,not_approved,FALSE
IASR_007,IAS0057,merge_all,same_property_later_financing,Nantucket repeats after 18 years with the same addresses and units.,2026-08-10,merge_all,Google,https://www.google.com/search?q=Nantucket%20Apartments%20Fayetteville%20Arkansas%20LIHTC,Nantucket Apartments,public_property_directory,https://affordablehousingonline.com/housing-search/Arkansas/Fayetteville/Nantucket-Apartments-/10023370,The retained property record identifies one Nantucket development at the reviewed address.,2026-08-10,merge_all,later_financing_episode_same_physical_development,consistent_with_identity_decision,Propose one physical development while preserving every source row as a project episode; do not aggregate conflicting unit counts or treat the identity decision as address validation.,2026-08-10,not_approved,FALSE
IASR_008,IAS0058,merge_all,same_named_scattered_site,"Two Helena Scattered Sites I variants have the same timing, units, and address set.",2026-08-10,merge_all,Google,https://www.google.com/search?q=Helena%20Scattered%20Sites%20I%20Arkansas%20LIHTC,Phillips County Affordable Housing List,allocating_agency,https://adfa.arkansas.gov/wp-content/uploads/2024/12/Phillips-County-Helena-West-Helena.pdf,The Arkansas agency list treats Helena Scattered Sites I as one scattered-site property.,2026-08-10,merge_all,duplicate_reporting_same_multisite_development,consistent_with_identity_decision,Propose one physical development while preserving every source row as a project episode; do not aggregate conflicting unit counts or treat the identity decision as address validation.,2026-08-10,not_approved,FALSE
IASR_009,IAS0059,retain_each,distinct_named_projects_shared_address,North Acres and Garden Manor have distinct names and are separately listed despite their common address.,2026-08-10,retain_each,Google,https://www.google.com/search?q=North%20Acres%20Garden%20Manor%20Jonesboro%20Arkansas%20apartments,Craighead County Affordable Housing List,allocating_agency,https://adfa.arkansas.gov/wp-content/uploads/2024/12/Craighead-County-update.pdf,The Arkansas agency lists North Acres and Garden Manor as separate properties at the common location.,2026-08-10,retain_each,distinct_projects_on_shared_campus,shared_campus_distinct_components,Preserve each source development as a distinct physical development; do not treat the shared address set as sufficient identity evidence.,2026-08-10,not_approved,FALSE
IASR_010,IAS0070,merge_all,same_property_renamed_or_redeveloped,The later name explicitly says Valley Apartments formerly Delta Villas; timing indicates preservation.,2026-08-10,merge_all,Google,https://www.google.com/search?q=Valley%20Apartments%20fka%20Delta%20Villas%20McGehee%20Arkansas,Valley Apartments fka Delta Villas,public_property_directory,https://affordablehousinghub.org/housing/arkansas/desha-county/mcgehee/valley-apartments-fka-delta-villas-29969-lihtc,The public property record explicitly identifies Valley Apartments as formerly Delta Villas.,2026-08-10,merge_all,renamed_later_episode_same_physical_development,consistent_with_identity_decision,Propose one physical development while preserving every source row as a project episode; do not aggregate conflicting unit counts or treat the identity decision as address validation.,2026-08-10,not_approved,FALSE
