"NCA19929043","2711 FOXTAIL CT, RALEIGH, NC, 27610","Match","Exact","2711 FOXTAIL CT, RALEIGH, NC, 27610","-78.609590801415,35.738970897725","72564961","R","37","183","052102","1000"
"NCA19929042","2709 FOXTAIL CT, RALEIGH, NC, 27610","Match","Exact","2709 FOXTAIL CT, RALEIGH, NC, 27610","-78.609593261819,35.738973103606","72564961","R","37","183","052102","1000"
"NVA20210004","14001 SUMMIT SIERRA BLVD, RENO, NV, 89511","No_Match"
"MAB20120010","157 WASHINGTON ST, DORCHESTER, MA, 02121","Match","Exact","157 WASHINGTON ST, DORCHESTER, MA, 02121","-71.079241303041,42.304193147202","85701587","R","25","025","090100","2004"
"NCA19929041","2809 FERRET CT, RALEIGH, NC, 27610","Match","Non_Exact","2809 FERRETT CT, RALEIGH, NC, 27610","-78.608538894713,35.73908895367","72650355","L","37","183","052102","1004"
"NCA19929040","2807 FERRET CT, RALEIGH, NC, 27610","Match","Non_Exact","2807 FERRETT CT, RALEIGH, NC, 27610","-78.60854027476,35.739095853909","72650355","L","37","183","052102","1004"
"MTA20220010","2765 TSCHACHE LN, BOZEMAN, MT, 59715","Match","Non_Exact","2765 TSCHACHE LN, BOZEMAN, MT, 59718","-111.079275337501,45.697982676094","649011094","L","30","031","000506","2010"
"NCA19929045","2811 FERRET CT, RALEIGH, NC, 27610","Match","Non_Exact","2811 FERRETT CT, RALEIGH, NC, 27610","-78.608537514746,35.739082053442","72650355","L","37","183","052102","1004"
"NCA19929044","1719 FOX HOLLOW DR, RALEIGH, NC, 27610","Match","Non_Exact","1719 FOX HOLLOW RD, RALEIGH, NC, 27610","-78.609431362353,35.738906823696","208361932","L","37","183","052102","1000"
"NCA19929049","1708 FOX HOLLOW DR, RALEIGH, NC, 27610","Match","Non_Exact","1708 FOX HOLLOW RD, RALEIGH, NC, 27610","-78.609592381363,35.738597575847","208362452","R","37","183","052102","1004"
"NCA19929048","2705 FOXTAIL CT, RALEIGH, NC, 27610","Match","Exact","2705 FOXTAIL CT, RALEIGH, NC, 27610","-78.609598182629,35.738977515367","72564961","R","37","183","052102","1000"
"MOA20060020","800 FLEENOR RD, CUBA, MO, 65453","Match","Exact","800 FLEENOR RD, CUBA, MO, 65453","-91.392121928759,38.071419380841","45151724","L","29","055","450302","4046"
"MSA19990130","324 PATTON LN, BATESVILLE, MS, 38606","Match","Exact","324 PATTON LN, BATESVILLE, MS, 38606","-89.969622607961,34.32059030513","607788356","R","28","107","950602","1002"
"MSA19990132","755 GLENCROSS DR, JACKSON, MS, 39206","No_Match"
"NCA19930035","1926 TISCHER RD, RALEIGH, NC, 27603","Match","Exact","1926 TISCHER RD, RALEIGH, NC, 27603","-78.673773923756,35.745022589519","72649655","R","37","183","054501","2000"
"MAB20120015","173 COLUMBIA RD, DORCHESTER, MA, 02121","Match","Exact","173 COLUMBIA RD, DORCHESTER, MA, 02121","-71.077160206363,42.306462036087","85734577","R","25","025","090200","1003"
"NCA19929054","705 709 HOPKINS ST, DURHAM, NC, 27701","Match","Non_Exact","709 HOPKINS ST, DURHAM, NC, 27701","-78.889282881651,35.992023551849","71742546","L","37","063","001100","2007"
"OHA19880595","605 TROY DR, STEUBENVILLE, OH, 43953","Match","Non_Exact","605 TROY AVE, STEUBENVILLE, OH, 43953","-80.665113053305,40.359700320608","656779572","R","39","081","001000","2002"
"MDA20190010","3136 BEL PRE RD, ASPEN HILL, MD, 20906","Match","Exact","3136 BEL PRE RD, ASPEN HILL, MD, 20906","-77.064064821687,39.091320622157","62060333","L","24","031","703214","3000"
"NCA19929055","3000 INGLESIDE AVE, GREENSBORO, NC, 27405","Match","Exact","3000 INGLESIDE AVE, GREENSBORO, NC, 27405","-79.747186313661,36.094909235968","131035731","R","37","081","012706","1012"
"NCA19930040","1929 TISCHER RD, RALEIGH, NC, 27603","Match","Exact","1929 TISCHER RD, RALEIGH, NC, 27603","-78.673916372722,35.745065233361","72649655","L","37","183","054501","2000"
"MIA20020300","3000 SUFFOLK CT, FLUSHING, MI, 48433","Match","Exact","3000 SUFFOLK CT, FLUSHING, MI, 48433","-83.797109825522,43.057050002612","624888479","L","26","049","010502","3000"
"NCA19929059","1111 LOMBARDY ST, GREENSBORO, NC, 27405","Match","Exact","1111 LOMBARDY ST, GREENSBORO, NC, 27405","-79.749203079765,36.092999409149","131035727","L","37","081","012706","1000"
"MIA20050175","11265 WASHINGTON AVE, ALLENDALE, MI, 49401","Match","Exact","11265 WASHINGTON AVE, ALLENDALE, MI, 49401","-85.941198813692,42.973749408041","71105622","L","26","139","024300","3004"
"MIA20020305","5220 HORIZON DR, BATTLE CREEK, MI, 49015","Match","Exact","5220 HORIZON DR, BATTLE CREEK, MI, 49015","-85.19340924388,42.249829369227","628722928","R","26","025","001802","3010"
"MOA20060010","816 NICHOLAS, CARL JUNCTION, MO, 64834","Match","Non_Exact","816 NICHOLAS LN, CARL JUNCTION, MO, 64834","-94.574683819652,37.184948052171","66173211","R","29","097","011302","1008"
"MOA19930145","68 IRA BLAND, SULLIVAN, MO, 63080","Match","Exact","68 IRA BLAND, SULLIVAN, MO, 63080","-91.175808711515,38.202900514798","611769643","R","29","055","450103","2016"
"MDA20190016","2000 ROCK SPRING RD, FOREST HILL, MD, 21050","Match","Exact","2000 ROCK SPRING RD, FOREST HILL, MD, 21050","-76.383403625237,39.572144698316","191667057","L","24","025","303204","2003"
"NCA19929061","1607 PECAN CT, WILSON, NC, 27893","Match","Non_Exact","1607 PECAN CT N, WILSON, NC, 27893","-77.914997321798,35.745319973845","26710985","L","37","195","000601","1003"
"MDA20190015","10630 RED RUN BLVD, OWINGS MILLS, MD, 21117","Match","Exact","10630 RED RUN BLVD, OWINGS MILLS, MD, 21117","-76.797114600097,39.410667379268","191566305","L","24","005","404101","3000"
"NCA19929060","1115 LOMBARDY ST, GREENSBORO, NC, 27405","Match","Exact","1115 LOMBARDY ST, GREENSBORO, NC, 27405","-79.749216316853,36.093046684479","131035727","L","37","081","012706","1000"
"NCA19930010","1621 EASTWOOD AVE, GREENSBORO, NC, 27401","Match","Exact","1621 EASTWOOD AVE, GREENSBORO, NC, 27401","-79.756675944174,36.05232395324","131036184","L","37","081","011102","1013"
"NYC20120584","926 MADISON ST, BROOKLYN, NY, 11221","Match","Exact","926 MADISON ST, BROOKLYN, NY, 11221","-73.920450410655,40.688131206797","59082851","R","36","047","037500","2005"
"MAB20120030","196 AYER RD, HARVARD, MA, 01451","Match","Exact","196 AYER RD, HARVARD, MA, 01451","-71.579398127771,42.527214298429","40077704","R","25","027","761402","1022"
"NCA19929025","4715 COURTNEY LN, RALEIGH, NC, 27604","Match","Non_Exact","4715 COURTNEY LN, RALEIGH, NC, 27616","-78.57040109286,35.847066284518","612812989","L","37","183","054008","3001"
"NCA19929024","4705 COURTNEY LN, RALEIGH, NC, 27604","Match","Non_Exact","4705 COURTNEY LN, RALEIGH, NC, 27616","-78.570465701474,35.84672221568","208349323","L","37","183","054008","3001"
"NYB20230018","52 MANHATTAN AVE, GREENBURGH, NY, 10607","Match","Non_Exact","52 MANHATTAN AVE, WHITE PLAINS, NY, 10607","-73.797158523224,41.045287014427","139841235","L","36","119","010903","2002"
"NCA19929023","4719 COURTNEY LN, RALEIGH, NC, 27604","Match","Non_Exact","4719 COURTNEY LN, RALEIGH, NC, 27616","-78.570401092857,35.847113171476","612812989","L","37","183","054008","3001"
"NCA19929022","4707 COURTNEY LN, RALEIGH, NC, 27604","Match","Non_Exact","4707 COURTNEY LN, RALEIGH, NC, 27616","-78.570422723108,35.846894129685","208349323","L","37","183","054008","3001"
"NCA19929029","8 QUAD OAK DR, GREENSBORO, NC, 27405","Match","Exact","8 QUAD OAK DR, GREENSBORO, NC, 27405","-79.73121711625,36.090585500145","131053921","R","37","081","012706","2000"
"NCA19929027","4703 COURTNEY LN, RALEIGH, NC, 27604","Match","Non_Exact","4703 COURTNEY LN, RALEIGH, NC, 27616","-78.570526618535,35.846563632148","208349323","L","37","183","054008","3001"
"NCA19929026","4701 COURTNEY LN, RALEIGH, NC, 27604","Match","Non_Exact","4701 COURTNEY LN, RALEIGH, NC, 27616","-78.570603366249,35.84640152611","208349323","L","37","183","054008","3001"
"NYC20120583","181 GORDON ST, STATEN ISLAND, NY, 10304","Match","Exact","181 GORDON ST, STATEN ISLAND, NY, 10304","-74.082786831196,40.623028020535","59869256","L","36","085","002900","2000"
"MIA20211007","615 HARRISON ST, KALAMAZOO, MI, 49007","Match","Exact","615 HARRISON ST, KALAMAZOO, MI, 49007","-85.574836632304,42.29764188478","12227533","L","26","077","000202","1057"
