identity_question_id,review_origin,pass1_identity_decision,pass1_reason_code,pass1_notes,pass1_reviewed_on,pass2_identity_decision,pass2_reason_code,pass2_search_engine,pass2_search_url,pass2_source_title,pass2_source_type,pass2_source_url,pass2_notes,pass2_reviewed_on,final_identity_decision,final_reason_code,address_overlap_class,final_notes,final_reviewed_on,shared_geocoding_query_decision,source_rows_changed,n_members,n_clusters,n_cross_question_clusters,final_partition_class,development_state,development_names,shared_address_examples,internal_evidence_pattern
XDA2_0001,new_two_pass_review,merge_all,internal_evidence_supports_one_physical_development,"Internal read: normalized and published names, state IDs, primary and complete address sets, placed-in-service years, unit scopes, and source-quality flags were read together. The resulting member partition is merge_all; no single field, including the shared address, was treated as dispositive.",2026-08-10,merge_all,duplicate_reporting_or_later_episode_same_physical_development,Google,https://www.google.com/search?q=AURORA%20VISTA%20%7C%20AURORA%20VISTA%20KENAI%20I-III%20AK%20affordable%20housing,"Aurora Vista | Affordable Housing in Kenai, AK",public_property_directory,https://affordablehousinghub.org/housing/alaska/kenai-peninsula-county/kenai/aurora-vista-25264-lihtc,"Outside read: the retained public records identify one named property, one later financing episode, one paired-financing development, or one scattered-site development corresponding to the internal record set. All HUD rows and site rows remain preserved.",2026-08-10,merge_all,duplicate_reporting_or_later_episode_same_physical_development,same_physical_development_address,Apply only the explicit member partition. Preserve every HUD row as a project episode and every site row. Do not sum units or approve a coordinate query here.,2026-08-10,not_approved,FALSE,2,1,0,merge_all,AK,AURORA VISTA | AURORA VISTA KENAI I-III,104 N GILL ST|KENAI|AK,name_or_timing_with_equal_units_near_pis
XDA2_0002,new_two_pass_review,merge_all,internal_evidence_supports_one_physical_development,"Internal read: normalized and published names, state IDs, primary and complete address sets, placed-in-service years, unit scopes, and source-quality flags were read together. The resulting member partition is merge_all; no single field, including the shared address, was treated as dispositive.",2026-08-10,merge_all,duplicate_reporting_or_later_episode_same_physical_development,Google,https://www.google.com/search?q=CARLANNA%20%7C%20CARLANNA%20SUBDIVISION%20AK%20affordable%20housing,"Carlanna | Affordable Housing in Ketchikan, AK",public_property_directory,https://affordablehousinghub.org/housing/alaska/ketchikan-gateway-county/ketchikan/carlanna-25266-lihtc,"Outside read: the retained public records identify one named property, one later financing episode, one paired-financing development, or one scattered-site development corresponding to the internal record set. All HUD rows and site rows remain preserved.",2026-08-10,merge_all,duplicate_reporting_or_later_episode_same_physical_development,same_physical_development_address,Apply only the explicit member partition. Preserve every HUD row as a project episode and every site row. Do not sum units or approve a coordinate query here.,2026-08-10,not_approved,FALSE,2,1,0,merge_all,AK,CARLANNA | CARLANNA SUBDIVISION,1360 JACKSON ST|KETCHIKAN|AK,name_or_timing_with_equal_units_near_pis
XDA2_0003,new_two_pass_review,merge_all,internal_evidence_supports_one_physical_development,"Internal read: normalized and published names, state IDs, primary and complete address sets, placed-in-service years, unit scopes, and source-quality flags were read together. The resulting member partition is merge_all; no single field, including the shared address, was treated as dispositive.",2026-08-10,merge_all,duplicate_reporting_or_later_episode_same_physical_development,Google,https://www.google.com/search?q=CHESTER%20PARK%20%7C%20CHESTER%20PARK%20ESTATES%20AK%20affordable%20housing,"Chester Park Estates | Affordable Housing in Anchorage, AK",public_property_directory,https://affordablehousinghub.org/housing/alaska/anchorage-county/anchorage/chester-park-estates-25278-lihtc,"Outside read: the retained public records identify one named property, one later financing episode, one paired-financing development, or one scattered-site development corresponding to the internal record set. All HUD rows and site rows remain preserved.",2026-08-10,merge_all,duplicate_reporting_or_later_episode_same_physical_development,same_physical_development_address,Apply only the explicit member partition. Preserve every HUD row as a project episode and every site row. Do not sum units or approve a coordinate query here.,2026-08-10,not_approved,FALSE,2,1,0,merge_all,AK,CHESTER PARK | CHESTER PARK ESTATES,1019 E 20TH AVE|ANCHORAGE|AK,name_or_timing_with_equal_units_near_pis
XDA2_0004,new_two_pass_review,merge_all,internal_evidence_supports_one_physical_development,"Internal read: normalized and published names, state IDs, primary and complete address sets, placed-in-service years, unit scopes, and source-quality flags were read together. The resulting member partition is merge_all; no single field, including the shared address, was treated as dispositive.",2026-08-10,merge_all,duplicate_reporting_or_later_episode_same_physical_development,Google,https://www.google.com/search?q=HARBOR%20RIDGE%20%7C%20HARBOR%20RIDGE-HOMER%20ASSOCIATES%2C%20LLC%20AK%20affordable%20housing,"Harbor Ridge-Homer Associates, Llc | Affordable Housing in Homer, AK",public_property_directory,https://affordablehousinghub.org/housing/alaska/kenai-peninsula-county/homer/harbor-ridge-homer-associates-llc-30504-lihtc,"Outside read: the retained public records identify one named property, one later financing episode, one paired-financing development, or one scattered-site development corresponding to the internal record set. All HUD rows and site rows remain preserved.",2026-08-10,merge_all,duplicate_reporting_or_later_episode_same_physical_development,same_physical_development_address,Apply only the explicit member partition. Preserve every HUD row as a project episode and every site row. Do not sum units or approve a coordinate query here.,2026-08-10,not_approved,FALSE,2,1,0,merge_all,AK,"HARBOR RIDGE | HARBOR RIDGE-HOMER ASSOCIATES, LLC",4047 MAIN ST|HOMER|AK,name_or_timing_with_equal_units_near_pis
XDA2_0005,new_two_pass_review,merge_all,internal_evidence_supports_one_physical_development,"Internal read: normalized and published names, state IDs, primary and complete address sets, placed-in-service years, unit scopes, and source-quality flags were read together. The resulting member partition is merge_all; no single field, including the shared address, was treated as dispositive.",2026-08-10,merge_all,duplicate_reporting_or_later_episode_same_physical_development,Google,https://www.google.com/search?q=HUNTER%20CREEK%20APTS%20%7C%20HUNTER%20CREEK%20APTS.%20OF%20PALMER%2C%20LP%20AK%20affordable%20housing,"Hunter Creek Apts. of Palmer, Lp | Affordable Housing in Palmer, AK",public_property_directory,https://affordablehousinghub.org/housing/alaska/matanuska-susitna-county/palmer/hunter-creek-apts-of-palmer-lp-30535-lihtc,"Outside read: the retained public records identify one named property, one later financing episode, one paired-financing development, or one scattered-site development corresponding to the internal record set. All HUD rows and site rows remain preserved.",2026-08-10,merge_all,duplicate_reporting_or_later_episode_same_physical_development,same_physical_development_address,Apply only the explicit member partition. Preserve every HUD row as a project episode and every site row. Do not sum units or approve a coordinate query here.,2026-08-10,not_approved,FALSE,2,1,0,merge_all,AK,"HUNTER CREEK APTS | HUNTER CREEK APTS. OF PALMER, LP",855 W FERN AVE A1|PALMER|AK | 855 W FERN AVE B1|PALMER|AK | 855 W FERN AVE C1|PALMER|AK | 855 W FERN AVE D1|PALMER|AK | 855 W FERN AVE|PALMER|AK,name_or_timing_with_equal_units_near_pis
XDA2_0006,new_two_pass_review,merge_all,internal_evidence_supports_one_physical_development,"Internal read: normalized and published names, state IDs, primary and complete address sets, placed-in-service years, unit scopes, and source-quality flags were read together. The resulting member partition is merge_all; no single field, including the shared address, was treated as dispositive.",2026-08-10,merge_all,duplicate_reporting_or_later_episode_same_physical_development,Google,https://www.google.com/search?q=MANOKOTAK%20%7C%20MANOKOTAK%20VIEW%20AK%20affordable%20housing,"Manokotak | Affordable Housing in Manokotak, AK",public_property_directory,https://affordablehousinghub.org/housing/alaska/dillingham-county/manokotak/manokotak-30481-lihtc,"Outside read: the retained public records identify one named property, one later financing episode, one paired-financing development, or one scattered-site development corresponding to the internal record set. All HUD rows and site rows remain preserved.",2026-08-10,merge_all,duplicate_reporting_or_later_episode_same_physical_development,same_physical_development_address,Apply only the explicit member partition. Preserve every HUD row as a project episode and every site row. Do not sum units or approve a coordinate query here.,2026-08-10,not_approved,FALSE,2,1,0,merge_all,AK,MANOKOTAK | MANOKOTAK VIEW,103 MANOKOTAK HEIGHTS SPUR RD|MANOKOTAK|AK,name_or_timing_with_equal_units_near_pis
XDA2_0007,new_two_pass_review,retain_each,internal_evidence_supports_distinct_phases_or_components,"Internal read: normalized and published names, state IDs, primary and complete address sets, placed-in-service years, unit scopes, and source-quality flags were read together. The resulting member partition is retain_each; no single field, including the shared address, was treated as dispositive.",2026-08-10,retain_each,distinct_phases_or_components_common_address,Google,https://www.google.com/search?q=MOUNTAIN%20VIEW%20VILLAGE%20II%20%7C%20MOUNTAIN%20VIEW%20VILLAGE%20III%20AK%20affordable%20housing,"Mountain View Village Ii | Affordable Housing in Anchorage, AK | Mountain View Village Iii | Affordable Housing in Anchorage, AK",public_property_directory,https://affordablehousinghub.org/housing/alaska/anchorage-county/anchorage/mountain-view-village-ii-30482-lihtc | https://affordablehousinghub.org/housing/alaska/anchorage-county/anchorage/mountain-view-village-iii-25268-lihtc,"Outside read: the retained public records identify separately named phases, components, projects, or buildings. A common address or campus is not sufficient to collapse them.",2026-08-10,retain_each,distinct_phases_or_components_common_address,distinct_phase_or_component_common_address,Apply only the explicit member partition. Preserve every HUD row as a project episode and every site row. Do not sum units or approve a coordinate query here.,2026-08-10,not_approved,FALSE,2,2,0,retain_each,AK,MOUNTAIN VIEW VILLAGE II | MOUNTAIN VIEW VILLAGE III,4211 MOUNTAIN VIEW DR|ANCHORAGE|AK,name_similarity_only
XDA2_0008,new_two_pass_review,merge_all,internal_evidence_supports_one_physical_development,"Internal read: normalized and published names, state IDs, primary and complete address sets, placed-in-service years, unit scopes, and source-quality flags were read together. The resulting member partition is merge_all; no single field, including the shared address, was treated as dispositive.",2026-08-10,merge_all,duplicate_reporting_or_later_episode_same_physical_development,Google,https://www.google.com/search?q=MUKLUNG%20APTS%20%7C%20MUKLUNG%20MANOR%20AK%20affordable%20housing,"Muklung Apts | Affordable Housing in Dillingham, AK",public_property_directory,https://affordablehousinghub.org/housing/alaska/dillingham-county/dillingham/muklung-apts-25260-lihtc,"Outside read: the retained public records identify one named property, one later financing episode, one paired-financing development, or one scattered-site development corresponding to the internal record set. All HUD rows and site rows remain preserved.",2026-08-10,merge_all,duplicate_reporting_or_later_episode_same_physical_development,same_physical_development_address,Apply only the explicit member partition. Preserve every HUD row as a project episode and every site row. Do not sum units or approve a coordinate query here.,2026-08-10,not_approved,FALSE,2,1,0,merge_all,AK,MUKLUNG APTS | MUKLUNG MANOR,1259 TOWER RD|DILLINGHAM|AK,name_or_timing_with_equal_units_near_pis
XDA2_0009,new_two_pass_review,merge_all,internal_evidence_supports_one_physical_development,"Internal read: normalized and published names, state IDs, primary and complete address sets, placed-in-service years, unit scopes, and source-quality flags were read together. The resulting member partition is merge_all; no single field, including the shared address, was treated as dispositive.",2026-08-10,merge_all,duplicate_reporting_or_later_episode_same_physical_development,Google,https://www.google.com/search?q=PARKVIEW%20APTS%20%7C%20PARKVIEW-SOLDOTNA%20ASSOCIATES%20LP%20AK%20affordable%20housing,"Parkview-Soldotna Associates Lp | Affordable Housing in Soldotna, AK",public_property_directory,https://affordablehousinghub.org/housing/alaska/kenai-peninsula-county/soldotna/parkview-soldotna-associates-lp-30467-lihtc,"Outside read: the retained public records identify one named property, one later financing episode, one paired-financing development, or one scattered-site development corresponding to the internal record set. All HUD rows and site rows remain preserved.",2026-08-10,merge_all,duplicate_reporting_or_later_episode_same_physical_development,same_physical_development_address,Apply only the explicit member partition. Preserve every HUD row as a project episode and every site row. Do not sum units or approve a coordinate query here.,2026-08-10,not_approved,FALSE,2,1,0,merge_all,AK,PARKVIEW APTS | PARKVIEW-SOLDOTNA ASSOCIATES LP,330 COLUMBINE ST|SOLDOTNA|AK | 334 COLUMBINE ST|SOLDOTNA|AK | 338 COLUMBINE ST|SOLDOTNA|AK,name_or_timing_with_equal_units_near_pis
XDA2_0010,new_two_pass_review,merge_all,internal_evidence_supports_one_physical_development,"Internal read: normalized and published names, state IDs, primary and complete address sets, placed-in-service years, unit scopes, and source-quality flags were read together. The resulting member partition is merge_all; no single field, including the shared address, was treated as dispositive.",2026-08-10,merge_all,duplicate_reporting_or_later_episode_same_physical_development,Google,https://www.google.com/search?q=SOUND%20VIEW%20APTS%20%7C%20SOUND%20VIEW%20ASSOCIATES%20AK%20affordable%20housing,"Sound View Associates | Affordable Housing in Valdez, AK",public_property_directory,https://affordablehousinghub.org/housing/alaska/valdez-cordova-county/valdez/sound-view-associates-30438-lihtc,"Outside read: the retained public records identify one named property, one later financing episode, one paired-financing development, or one scattered-site development corresponding to the internal record set. All HUD rows and site rows remain preserved.",2026-08-10,merge_all,duplicate_reporting_or_later_episode_same_physical_development,same_physical_development_address,Apply only the explicit member partition. Preserve every HUD row as a project episode and every site row. Do not sum units or approve a coordinate query here.,2026-08-10,not_approved,FALSE,2,1,0,merge_all,AK,SOUND VIEW APTS | SOUND VIEW ASSOCIATES,454 W HANAGITA|VALDEZ|AK,name_or_timing_with_equal_units_near_pis
