source_exception_group_id,expected_n_developments,expected_n_episodes,expected_n_site_assignments,prepared_site_dispositions,group_decision,site_inventory_status,property_structure_status,unresolved_status,episode_decision_status,external_replacement_transaction_id,internal_read_status,outside_read_status,final_review_notes,final_reviewed_on,repair_application_status,source_rows_changed,geocoding_query_approval
IAS0670,6,6,48,remove_cross_listed_source_site|retain_canonical_source_site,approve_current_rows_with_transaction_and_incomplete_flags,one_transactional_replacement_two_incomplete_inventories,retain_structure_pending_inventory_completion,mechanic_transaction_required_wayne_orient_inventory_incomplete,retained_inventory_repair_pending,SRC_TXN_0001,complete_from_committed_source_lineage,complete_supports_replacement_and_flags,Eight Mechanic Mill rows require the replacement transaction; Wayne and Orient retain confirmed rows but remain incomplete.,2026-08-11,not_applied,FALSE,not_approved
IAS0687,10,10,530,remove_cross_listed_source_site|retain_canonical_source_site,approve_prepared_site_actions,current_site_partition_resolved,retain_current_development_structure,none,retained_not_applied,none,complete_from_committed_source_lineage,complete_supports_current_row_decisions,Maryland numbers and raw BIN tokens isolate each property's own site rows.,2026-08-11,not_applied,FALSE,not_approved
IASR_003,2,2,22,outside_partition_required,hold_unresolved_site_partition,unresolved_project_partition,retain_structure_pending_site_partition,outside_project_site_partition_required,retained_site_partition_unresolved,none,complete_from_committed_source_lineage,complete_partition_unresolved,The shared legal and parcel descriptions cannot be assigned safely between the two Alaska projects.,2026-08-11,not_applied,FALSE,not_approved
IASR_028,2,2,4,remove_cross_listed_source_site|retain_canonical_source_site,approve_prepared_site_actions,current_site_partition_resolved,retain_current_development_structure,none,retained_not_applied,none,complete_from_committed_source_lineage,complete_supports_current_row_decisions,Direct property evidence assigns each confirmed primary site and excludes the copied row.,2026-08-11,not_applied,FALSE,not_approved
IASR_029,2,4,4,remove_cross_listed_source_site|retain_canonical_source_site,approve_prepared_site_actions,current_site_partition_resolved,retain_current_development_structure,none,retained_not_applied,none,complete_from_committed_source_lineage,complete_supports_current_row_decisions,Direct property evidence assigns each confirmed primary site and excludes the copied row.,2026-08-11,not_applied,FALSE,not_approved
IASR_030,3,5,9,remove_cross_listed_source_site|retain_canonical_source_site,approve_prepared_site_actions,current_site_partition_resolved,retain_current_development_structure,none,retained_not_applied,none,complete_from_committed_source_lineage,complete_supports_current_row_decisions,Direct property evidence assigns each confirmed primary site and excludes copied rows.,2026-08-11,not_applied,FALSE,not_approved
IASR_094,1,2,2,remove_cross_listed_source_site|retain_canonical_source_site,approve_prepared_site_actions,current_site_partition_resolved,retain_current_development_structure,none,retained_not_applied,none,complete_from_committed_source_lineage,complete_supports_current_row_decisions,The confirmed primary site is retained and the unrelated source row is excluded.,2026-08-11,not_applied,FALSE,not_approved
IASR_095,1,2,5,consolidate_same_bin_address_variant|remove_cross_listed_source_site|retain_canonical_source_site,approve_prepared_site_actions,current_site_partition_resolved,retain_current_development_structure,none,retained_not_applied,none,complete_from_committed_source_lineage,complete_supports_current_row_decisions,Confirmed sites are retained; the redundant base address and unrelated row are excluded.,2026-08-11,not_applied,FALSE,not_approved
IASR_096,1,2,16,consolidate_same_bin_address_variant|remove_cross_listed_source_site|retain_canonical_source_site,approve_prepared_site_actions,current_site_partition_resolved,retain_current_development_structure,none,retained_not_applied,none,complete_from_committed_source_lineage,complete_supports_current_row_decisions,Confirmed sites are retained; the redundant base address and unrelated row are excluded.,2026-08-11,not_applied,FALSE,not_approved
IASR_098,1,2,3,remove_cross_listed_source_site|retain_canonical_source_site,approve_prepared_site_actions,current_site_partition_resolved,retain_current_development_structure,none,retained_not_applied,none,complete_from_committed_source_lineage,complete_supports_current_row_decisions,The confirmed primary site is retained and unrelated source rows are excluded.,2026-08-11,not_applied,FALSE,not_approved
XDAQ_0019,2,4,37,retain_umbrella_financing_assignment_requires_bridge,retain_sites_bridge_blocked,umbrella_site_scope_confirmed_bridge_pending,split_aggregate_development_after_bridge,episode_to_property_bridge_required,retained_bridge_blocked,none,complete_from_committed_source_lineage,complete_supports_umbrella_scope,All current sites remain evidence for the umbrella financing; no physical-property split is authorized before the bridge.,2026-08-11,not_applied,FALSE,not_approved
XDAQ_0113,2,2,2,outside_site_replacement_required,hold_unresolved_external_replacement,nonphysical_placeholders_real_sites_absent,retain_episodes_pending_site_replacement_and_bridge,external_site_list_and_episode_to_property_bridge_required,retained_replacement_and_bridge_blocked,none,complete_from_committed_source_lineage,complete_confirms_placeholders_only,The street-only HCCI placeholders remain unchanged until a real site list and episode bridge are reviewed.,2026-08-11,not_applied,FALSE,not_approved
XDAQ_0114,5,5,5,outside_site_replacement_required,hold_unresolved_external_replacement,nonphysical_placeholders_real_sites_absent,retain_episodes_pending_site_replacement_and_bridge,external_site_list_and_episode_to_property_bridge_required,retained_replacement_and_bridge_blocked,none,complete_from_committed_source_lineage,complete_confirms_placeholders_only,The street-only HCCI placeholders remain unchanged until a real site list and episode bridge are reviewed.,2026-08-11,not_applied,FALSE,not_approved
XDAQ_0115,3,3,3,outside_site_replacement_required,hold_unresolved_external_replacement,nonphysical_placeholders_real_sites_absent,retain_episodes_pending_site_replacement_and_bridge,external_site_list_and_episode_to_property_bridge_required,retained_replacement_and_bridge_blocked,none,complete_from_committed_source_lineage,complete_confirms_placeholders_only,The street-only HCCI placeholders remain unchanged until a real site list and episode bridge are reviewed.,2026-08-11,not_applied,FALSE,not_approved
XDAQ_0116,2,2,6,retain_same_physical_property_site,approve_same_property_identity_merge,current_addresses_confirmed_same_property,merge_two_current_developments_preserve_episodes,none,same_property_merge_approved_not_applied,none,complete_from_committed_source_lineage,complete_supports_same_property_merge,All six assignments are retained; the two current development records represent one physical property and both episodes must remain.,2026-08-11,not_applied,FALSE,not_approved
XDAQ_0122,2,2,9,consolidate_same_bin_address_variant|remove_cross_listed_source_site|retain_canonical_source_site,approve_prepared_site_actions,current_site_partition_resolved,retain_current_development_structure,none,retained_not_applied,none,complete_from_committed_source_lineage,complete_supports_current_row_decisions,Raw BIN evidence separates the confirmed sites from copied and redundant address rows.,2026-08-11,not_applied,FALSE,not_approved
XDAQ_0123,2,2,15,retain_umbrella_financing_assignment_requires_bridge,retain_sites_bridge_blocked,umbrella_site_scope_confirmed_bridge_pending,split_aggregate_development_after_bridge,episode_to_property_bridge_required,retained_bridge_blocked,none,complete_from_committed_source_lineage,complete_supports_umbrella_scope,All current sites remain evidence for the umbrella financing; no physical-property split is authorized before the bridge.,2026-08-11,not_applied,FALSE,not_approved
XDAQ_0128,2,2,46,consolidate_same_bin_address_variant|remove_cross_listed_source_site|retain_canonical_source_site,approve_prepared_site_actions,current_site_partition_resolved,retain_current_development_structure,none,retained_not_applied,none,complete_from_committed_source_lineage,complete_supports_current_row_decisions,Raw BIN evidence separates the confirmed sites from copied and redundant address rows.,2026-08-11,not_applied,FALSE,not_approved
XDAQ_0129,2,2,10,consolidate_same_bin_address_variant|remove_cross_listed_source_site|retain_canonical_source_site,approve_prepared_site_actions,current_site_partition_resolved,retain_current_development_structure,none,retained_not_applied,none,complete_from_committed_source_lineage,complete_supports_current_row_decisions,Raw BIN evidence separates the confirmed sites from copied and redundant address rows.,2026-08-11,not_applied,FALSE,not_approved
XDAQ_0131,2,2,26,consolidate_same_bin_address_variant|outside_campus_primary_confirmation|remove_cross_listed_source_site|retain_canonical_source_site,approve_resolved_rows_hold_unresolved_campus_rows,partially_resolved_blank_bin_primary_rows,retain_structure_pending_site_confirmation,outside_campus_primary_confirmation_required,retained_site_confirmation_pending,none,complete_from_committed_source_lineage,complete_partial_campus_rows_unresolved,Resolved BIN rows may proceed; the blank-BIN primary row remains unchanged pending outside confirmation.,2026-08-11,not_applied,FALSE,not_approved
XDAQ_0132,2,2,55,consolidate_same_bin_address_variant|outside_campus_primary_confirmation|remove_cross_listed_source_site|retain_canonical_source_site,approve_resolved_rows_hold_unresolved_campus_rows,partially_resolved_blank_bin_primary_rows,retain_structure_pending_site_confirmation,outside_campus_primary_confirmation_required,retained_site_confirmation_pending,none,complete_from_committed_source_lineage,complete_partial_campus_rows_unresolved,Resolved BIN rows may proceed; two blank-BIN primary rows remain unchanged pending outside confirmation.,2026-08-11,not_applied,FALSE,not_approved
XDAQ_0134,2,3,12,outside_campus_primary_confirmation|remove_cross_listed_source_site|retain_canonical_source_site,approve_resolved_rows_hold_unresolved_campus_rows,partially_resolved_blank_bin_primary_rows,retain_structure_pending_site_confirmation,outside_campus_primary_confirmation_required,retained_site_confirmation_pending,none,complete_from_committed_source_lineage,complete_partial_campus_rows_unresolved,Resolved BIN rows may proceed; the blank-BIN primary row remains unchanged pending outside confirmation.,2026-08-11,not_applied,FALSE,not_approved
