file,url,retrieved_on,sha256,source_type,used_for
maeghan_pointe_tejas.html,https://www.tejashousing.com/maeghan-pointe/,2026-08-12,07d81bf4f91092c529c5434dcc5236253606980cc6016c417d24a6f05106e859,owner-manager,"Maeghan Pointe name, 805 Maeghan Drive, Elsa, 80 units"
tierra_pointe_merced.html,https://mercedhousingtexas.org/community/tierra-pointe-apartments/,2026-08-12,2c978bd87de22c2d204abf678ce76e0225bf95bb888b9705fe49d8dfd206393c,owner-manager,"Tierra Pointe name, 1226 Texas Highway 123, Karnes City, 80 units"
sunrise_terrace_manager.html,https://www.sunriseterraceapts.com/,2026-08-12,5625221a653db7ee491e98fab296a00744e4827c26d749e12da564a2088eacdd,property-manager,"Sunrise Terrace name and 2400 North Solis Road, La Feria"
park_ridge_txhf.html,https://txhf.org/communities/park-ridge/,2026-08-12,c9a3e7f264e513a0aa79d6d0be717dd8ebee3ce5d2bff05c2c7a210d4e1b393d,owner-manager,"Park Ridge name and 100 Legend Hills Boulevard, Llano"
floral_gardens_manager.html,https://floralgardenapts.com/neighborhood/,2026-08-12,23d56ac06b157f44d4de1c8fa0136978ac93d0e6e4f83c01d79a8b2145e89672,property-manager,"Floral Gardens name and 7950 South Sam Houston Parkway West, Houston"
constitution_court_municipal.html,https://online.encodeplus.com/regs/copperascove-tx-wdp/doc-viewer.aspx?secid=44,2026-08-12,481502720709450a31872fb49a26989ae3c7b9277a2c6e74d5bbd99745731493,municipal,"Constitution Court Apartments at 712 Constitution Court and 180 units"
san_antonio_2020_council.html,https://sanantonio.legistar.com/MeetingDetail.aspx?GUID=AC2408E9-6AA6-4972-AC3B-29C23EE0C559&ID=745656&Options=&Search=,2026-08-12,28a17be16ea397d1fdff3c1fba0d4fb0bd11c7316e522e9fb6969682004012a9,municipal,"Hamilton Wolfe Lofts and Vista at Interpark council actions"
justice_park_houston_2012.pdf,https://www.houstontx.gov/citysec/agenda/2012/20120320.pdf,2026-08-12,eb5a0720e10acfb0318f4fff125074efcd31b264ac1c0deb959b5370bbba0c0a,municipal,"Justice Park Senior Villas project location at Justice Park Drive north of W 43rd"
justice_park_houston_2024.pdf,https://www.houstontx.gov/citysec/agenda/2024/20241015.pdf,2026-08-12,f9722701c08d627cfb960a80b5544eca841456bc6ae843c02945521f7e720873,municipal,"Campanile at Justice Park Senior Apartments at 39 Justice Park Drive"
hillsboro_tdhca_board_2018.pdf,https://www.tdhca.texas.gov/sites/default/files/board/books/180906-book-180830.pdf,2026-08-12,41ea884fc4c887f7aba4b6e128b5c00b37695ca21549e0cfad28d6a49ea7a331,state-board,"owner letters separately naming Hillsboro Gardens and Hillsboro Gardens Apartments Phase II; first letter gives 807 Abbott Avenue"
hillsboro_tdhca_2000_log.pdf,https://www.tdhca.texas.gov/sites/default/files/multifamily/docs/htc-9pct/00lihtclog.pdf,2026-08-12,1518bcc5f2f484cd1b5260f5073d33a2a58c796aaf125e2f74ff60c255a1ef37,state-program,"Hillsboro Gardens Phase II application at 800 block of South Abbott near Maxwell"
heights_corral_tdhca_2008_log.pdf,https://www.tdhca.texas.gov/sites/default/files/multifamily/docs/htc-9pct/08-ApplicationLog.pdf,2026-08-12,bde6d356d212e687d41de388d5d16b6edc9fd06953253017350a5e0357af74f5,state-program,"Heights at Corral name, 1000 West Corral Avenue, Kingsville, 80 units; not decisive because it is the same agency"
heights_corral_tamuk.pdf,https://www.tamuk.edu/academicaffairssupport/oisss/_files/ApartmentListing.pdf,2026-08-12,0d8dd91f8d61951e69ba4b9036c2d9ee20946aabf1b728b8127227ecde41c93d,university,"Heights at Corral Apartments, 1000 W. Corral Ave., Kingsville TX 78363"
guadalupe_crossing_tx_puc.html,https://www.puc.texas.gov/WaterSearch/,2026-08-12,ae101df12a89869fa65e73e74c74ad2a00a49affaff1acc1b6524ce50d30e102,retrieval_artifact_not_used,"Retrieved state-search page did not reproduce the search-engine result; not used as evidence"
